Identification de l'installation/ Facility Identification,Nom du propriétaire/ Owner Name,Nom du système / System Name,Ville/ City,Province (Anglais)/ Province (English),Province (Français) / Province (French),Code postal/ Postal Code,Type de propriétaire (Anglais) / Owner Type (English),Type de propriétaire (Français)/ Owner Type (French),Type d'exploitant (Anglais)/ Operator Type (English),Type d'exploitant  (Français) / Operator Type (French),Volume journalier moyen de l'effluent (m3) / Average Daily Effluent Volume (m3),Méthode de calcul (Anglais) / Method of Calculation (English),Méthode de calcul  (Français)/ Method of Calculation (French),Description de la méthode de calcul/ Description of Calculation Method ,Indicateur - Utilisation de chlore (Anglais)/ Chlorine Use Indicator (English),Indicateur - Utilisation de chlore (Français) / Chlorine Use Indicator (French),Type du système (Anglais)/ System Type (English),Type du système (Français)/ System Type (French),Types de traitement (Anglais)/ Treatment Types (English),Types de traitement (Français)/ Treatment Types (French),Description des autres traitements / Other Treatment Description,Description du lieu de rejet (Anglais) / Discharge Place Description (English),Description du lieu de rejet (Français) / Discharge Place Description (French),Le temps de rétention hydraulique est-il de 5 jours ou plus? (Anglais)/ Is the hydraulic retention time 5 days or more? (English),Le temps de rétention hydraulique est-il de 5 jours ou plus? (Français) / Is the hydraulic retention time 5 days or more? (French),Fréquence de reportage (Anglais)/ Reporting Frequency (English),Fréquence de reportage (Français) / Reporting Frequency (French),Périodes decalcul (Anglais)/ Averaging Period (English),Périodes de calcul (Français) / Averaging Period (French),Latitude/ Latitude,Longitude/ Longitude,Statut de Vérification du point (Anglais)/ Verification status of the point (English),Statut de Vérification du point (Français)/ Verification status of the point (French),Type de point (Anglais)/ Type of Point (English),Type de point (Français) / Type of Point (French),Nom de la masse d'eau fréquentée par les poissons/ Name of body of water frequented by fish,Nom de la masse d'eau au point d'entrée/ Name of the water at point of entry, Description de l'utilisation de l'eau (Anglais)/ Description of use of water (English),Description de l'utilisation de l'eau (Français)/ Description of use of water (French),Description des eaux fréquentées par les poisons (Anglais) / Description of water frequented by fish (English),Description des eaux fréquentées par les poisons (Français)/ Description of water frequented by fish (French),État du système (Anglais)/ System status (English),État du système (Français)/ System status (French)
23837.0,Ville de Dolbeau-Mistassini,Bassins d'épuration - Dolbeau,Dolbeau-Mistassini,Quebec,Québec,G8L 3E2,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,7850.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,Lagoons - Aerated,Étangs aérés,,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,,,,,48.8522,-72.2361,Estimated,Estimé,Final Discharge Point,Point de rejet final,Rivière Mistassini,Rivière Mistassini,Sport fishing,Pêche sportive,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
23838.0,Ville de Dolbeau-Mistassini,Bassins d'épuration - Mistassini,Dolbeau-Mistassini,Quebec,Québec,G8L 3E2,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,3825.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Lagoons - Aerated","Dessablage, Étangs aérés",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,,,,,48.8759,-72.1833,Estimated,Estimé,Final Discharge Point,Point de rejet final,Rivière Mistassini,Rivière Mistassini,Sport fishing,Pêche sportive,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
12556.0,Ville de Drummondville,Usine traitement d'eau usées de Drummondville,Drummondville,Quebec,Québec,J2E 0B2,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,40205.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Lagoons - Aerated","Dessablage, Dégrillage, Étangs aérés",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,,,,,45.9223,-72.505,Verified,Vérifié,Final Discharge Point,Point de rejet final,Rivière Saint-François,Rivière Saint-François,Other,Autre,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
9406.0,Ville de East Angus,Usine d'épuration des eaux de East Angus,East Angus,Quebec,Québec,J0B1R0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,7500.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Lagoons - Aerated, Lagoon - Facultative","Étangs aérés, Étang facultatif",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,,,,,45.4761,-71.6499,Estimated,Estimé,Final Discharge Point,Point de rejet final,Rivière St-François,Rivière St-François,Sport fishing,Pêche sportive,Watercourse with bulk flow ratio < 10,Cours d'eau avec un coefficient de débit brut < 10,operational,opérationnel
24486.0,Ville de Farnham,Station d'épuration de Farnham,Farnham,Quebec,Québec,J2N 0A9,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,8322.0,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Continuous,Continu,"Screening, Activated Sludge, Biological Nutrient Removal (Nitrogen and Phosphorus), Other Treatment","Dégrillage, Boues activées, Élimination biologique des nutriments (azote et phosphore), Autre",Décantation secondaire,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,,,,,45.2894,-72.9932,Estimated,Estimé,Final Discharge Point,Point de rejet final,Rivière Yamaska,Rivière Yamaska,Sport fishing,Pêche sportive,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
24324.0,Ville de Fermont,Usine  Épuration Ville de Fermont,Fermont,Quebec,Québec,G0G1J0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,2220.0,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Continuous,Continu,"Screening, Primary Sedimentation/Clarification, Lagoons - Aerated, Chemical Precipitation (Phosphorus)","Dégrillage, Sédimentation/clarification primaire, Étangs aérés, Précipitation chimique (phosphore)",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,,,,,52.7857,-67.1045,Verified,Vérifié,Final Discharge Point,Point de rejet final,émissaire du lac Daviault,émissaire du lac Daviault,Other,Autre,Other,Autre,operational,opérationnel
25523.0,VILLE DE FORESTVILLE,Station de traitement des eaux usées,FORESTVILLE,Quebec,Québec,G0T 1E0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,903.0,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Continuous,Continu,Lagoons - Aerated,Étangs aérés,,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,,,,,48.73,-69.0817,Verified,Vérifié,Final Discharge Point,Point de rejet final,Rivière du Sault aux Cocochons,Rivière du Sault aux Cochons,Sport fishing,Pêche sportive,Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
25751.0,Ville de Fossambault-sur-le-Lac,Étangs Fossambault-sur-le-lac,Fossambault-sur-le-Lac,Quebec,Québec,G3N 0M9,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,2579.0,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Continuous,Continu,"Lagoons - Aerated, Chemical Precipitation (Phosphorus)","Étangs aérés, Précipitation chimique (phosphore)",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,,,,,46.8639,-71.6235,Estimated,Estimé,Final Discharge Point,Point de rejet final,Rivière Ontarazi,Rivière Ontarazi,Sport fishing,Pêche sportive,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
41840.0,Ville de Gaspé,Station d'épuration des eaux usées,Gaspé,Quebec,Québec,G4X 2E8,Municipal or another local authority,Municipalité ou une autre autorité locale,Other,Autre,5431.0,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Continuous,Continu,"Grit Removal, Screening, Chemical Flocculation, Rotating Biological Contactor, Storage Ponds, Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Floculation chimique, Contacteur biologique rotatif, Bassin de stockage, Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,,,,,48.8236,-64.4462,Verified,Vérifié,Final Discharge Point,Point de rejet final,Baie de Gaspé,Baie de Gaspé,Other,Autre,Other,Autre,operational,opérationnel
12597.0,Ville de Gatineau,Usine d'épuration Buckingham-Masson-Angers,Gatineau,Quebec,Québec,J8M1V2,Municipal or another local authority,Municipalité ou une autre autorité locale,Other,Autre,12500.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Lagoons - Aerated","Dessablage, Dégrillage, Étangs aérés",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,,,,,45.5351,-75.4206,Verified,Vérifié,Final Discharge Point,Point de rejet final,Entrée de l'émissaire,,Other,Autre,,,operational,opérationnel
9200.0,Ville de Gatineau,Usine d'épuration régionale,Gatineau,Quebec,Québec,J8P1N9,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,136000.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, Activated Sludge","Dessablage, Dégrillage, Sédimentation/clarification primaire, Boues activées",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,,,,,45.4774,-75.6037,Verified,Vérifié,Final Discharge Point,Point de rejet final,Entrée de l'émissaire,,Other,Autre,,,operational,opérationnel
25844.0,ville de Gracefield,station épuration,Gracefield,Quebec,Québec,J0X1W0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,350.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,Lagoons - Aerated,Étangs aérés,,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,,,,,46.0898,-76.0508,Estimated,Estimé,Final Discharge Point,Point de rejet final,Rivière Gatineau,,Other,Autre,Other,Autre,operational,opérationnel
9107.0,Ville de Granby,Station d'épuration des eaux usées de Granby,Granby,Quebec,Québec,J2J 2E7,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,51970.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Extended Aeration Activated Sludge","Dessablage, Dégrillage, Boues activées par aération prolongée",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,,,,,45.3715,-72.7728,Verified,Vérifié,Final Discharge Point,Point de rejet final,Rivière Yamaska Nord,Rivière Yamaska Nord,Sport fishing,Pêche sportive,Watercourse with bulk flow ratio < 10,Cours d'eau avec un coefficient de débit brut < 10,operational,opérationnel
25436.0,Ville de Grande-Rivière,Station de traitement des eaux usées,Grande-Rivière,Quebec,Québec,G0C 1W0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,2450.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,Lagoons - Aerated,Étangs aérés,,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,,,,,48.3914,-64.5222,Verified,Vérifié,Final Discharge Point,Point de rejet final,Golfe Saint-Laurent,Golfe Saint-Laurent,Commercial fishing,Pêche commerciale,Open marine waters,Eaux libres en milieu marin,operational,opérationnel
25384.0,Ville de Kingsey Falls,Bassin d'épuration,kingsey Falls,Quebec,Québec,J0A1B0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,1172.4,Estimate based on the measured rate of effluent flow,Estimations fondée sur la mesure du débit de l'effluent,,No,Non,Continuous,Continu,"Extended Aeration Activated Sludge, Lagoons - Aerated","Boues activées par aération prolongée, Étangs aérés",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,,,,,45.8638,-72.084,Verified,Vérifié,Final Discharge Point,Point de rejet final,Nicolet Sud-Ouest,Nicolet Sud-Ouest,Other,Autre,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
25802.0,Ville de La Malbaie,Station d'épuration,La Malbaie,Quebec,Québec,G5A 1A2,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,7250.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Chemical Flocculation, Primary Sedimentation/Clarification, Skimming, Storage Ponds","Dessablage, Dégrillage, Floculation chimique, Sédimentation/clarification primaire, Écrémage, Bassin de stockage",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,,,,,47.6542,-70.1358,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
25413.0,Ville de La Tuque,Station d'épuration,La Tuque,Quebec,Québec,G9X 4V6,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,8500.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Lagoons - Aerated","Dessablage, Étangs aérés",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,,,,,47.4011,-72.7928,Verified,Vérifié,Final Discharge Point,Point de rejet final,Effluent,Rivière St-Maurice,Industrial (e.g. hydro-electric),Industriel (hydroélectrique),Other,Autre,operational,opérationnel
25770.0,Ville de L'Assomption,usine d'épuration,L'Assomption,Quebec,Québec,J5W 3S3,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,8600.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Lagoons - Aerated","Dessablage, Dégrillage, Étangs aérés",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,,,,,45.8444,-73.4361,Estimated,Estimé,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
9342.0,Ville de Laval,Station d'épuration Auteuil,Laval,Quebec,Québec,H7J1A2,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,36850.0,Other method of calculation based on measurements,Autre méthode de calcul fondée sur les mesures,Mesure en continu du volume d'affluent décanteur moins le retour des eaux de lavage des biofiltres,No,Non,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Biofiltration, Disinfection","Dessablage, Dégrillage, Sédimentation/clarification primaire, Écrémage, Biofiltration, Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,,,,,45.6596,-73.748,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,Drinking water source,Source d'eau potable,Watercourse with bulk flow ratio < 10,Cours d'eau avec un coefficient de débit brut < 10,operational,opérationnel
9343.0,Ville de Laval,Station d'épuration Fabreville,Laval,Quebec,Québec,H7R5H2,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,44425.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Chemical Flocculation, Primary Sedimentation/Clarification, Disinfection","Dessablage, Dégrillage, Floculation chimique, Sédimentation/clarification primaire, Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,,,,,45.5771,-73.8357,Verified,Vérifié,Final Discharge Point,Point de rejet final,Rivière des Miles-Iles,Rivière des Miles-Iles,Drinking water source,Source d'eau potable,Watercourse with bulk flow ratio < 10,Cours d'eau avec un coefficient de débit brut < 10,operational,opérationnel
9344.0,Ville de Laval,Station d'épuration La Pinière,Laval,Quebec,Québec,H7E4P2,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,252000.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Chemical Flocculation, Primary Sedimentation/Clarification, Disinfection","Dessablage, Dégrillage, Floculation chimique, Sédimentation/clarification primaire, Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,,,,,45.6292,-73.6446,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
25656.0,Ville de Lavaltrie,Étangs aérés,Lavaltrie,Quebec,Québec,J5T 1S7,Municipal or another local authority,Municipalité ou une autre autorité locale,Other,Autre,6181.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Screening, Lagoons - Aerated, Lagoon - Facultative","Dégrillage, Étangs aérés, Étang facultatif",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,,,,,45.9003,-73.276,Estimated,Estimé,Final Discharge Point,Point de rejet final,Fleuve St-Laurent,Fleuve St-Laurent,,,,,operational,opérationnel
25453.0,Ville de L'Épiphanie,Usine d'Épuration L'Épiphanie,L'Épiphanie,Quebec,Québec,J5X 1A1,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,2270.0,Estimate based on generally accepted engineering practices,Estimations fondée sur les pratiques d'ingénierie généralement reconnues,,No,Non,Continuous,Continu,"Grit Removal, Screening, Lagoons - Aerated, Chemical Precipitation (Phosphorus)","Dessablage, Dégrillage, Étangs aérés, Précipitation chimique (phosphore)",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,,,,,45.8541,-73.475,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
23296.0,Ville de Lévis,Étangs Aérés Breakeyville,Breakeyville,Quebec,Québec,G0S 1E1,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,1332.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Screening, Lagoons - Aerated, Chemical Precipitation (Phosphorus)","Dégrillage, Étangs aérés, Précipitation chimique (phosphore)",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,,,,,46.6948,-71.2264,Estimated,Estimé,Final Discharge Point,Point de rejet final,Rivière Chaudière,Rivière Chaudière,Drinking water source,Source d'eau potable,Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
23297.0,Ville de Lévis,Étangs Aérés parc de l'érablière,St Nicolas,Quebec,Québec,G7A 2N4,Municipal or another local authority,Municipalité ou une autre autorité locale,Other,Autre,340.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,Lagoons - Aerated,Étangs aérés,,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,,,,,46.6662,-71.3677,Estimated,Estimé,Final Discharge Point,Point de rejet final,,Ruisseau Terrebonne,Other,Autre,Natural wetland,Milieu humide naturel,operational,opérationnel
8952.0,Ville de Lévis,Étangs Aérés secteur Desjardins,Lévis,Quebec,Québec,G6V 7M5,Municipal or another local authority,Municipalité ou une autre autorité locale,Other,Autre,48200.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Lagoons - Aerated","Dessablage, Dégrillage, Étangs aérés",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,,,,,46.7662,-71.1705,Estimated,Estimé,Final Discharge Point,Point de rejet final,Fleuve Saint Laurent,Fleuve Saint Laurent,Drinking water source,Source d'eau potable,Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
23295.0,Ville de Lévis,Étangs Aérés St Étienne,St Étienne,Quebec,Québec,G6J 1P7,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,2917.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Lagoons - Aerated, Chemical Precipitation (Phosphorus)","Étangs aérés, Précipitation chimique (phosphore)",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,,,,,46.6648,-71.2946,Estimated,Estimé,Final Discharge Point,Point de rejet final,Rivière Beaurivage,Rivière Beaurivage,Sport fishing,Pêche sportive,Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
23294.0,Ville de Lévis,Étangs Aérés St Jean Chrysostome,St Jean Chrysosotome,Quebec,Québec,G6Z 1X6,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,5824.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Screening, Lagoons - Aerated, Chemical Precipitation (Phosphorus)","Dégrillage, Étangs aérés, Précipitation chimique (phosphore)",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,,,,,46.7396,-71.1954,Estimated,Estimé,Final Discharge Point,Point de rejet final,Rivière Etchemin,Rivière Etchemin,Sport fishing,Pêche sportive,Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
23293.0,Ville de Lévis,Étangs Aérés St Romuald,St Romuald,Quebec,Québec,G6W 7Z9,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,7376.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Screening, Lagoons - Aerated","Dégrillage, Étangs aérés",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,,,,,46.7532,-71.2073,Estimated,Estimé,Final Discharge Point,Point de rejet final,Fleuve Saint Laurent,Fleuve Saint Laurent,Drinking water source,Source d'eau potable,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
8982.0,Ville de Lévis,Station Épuration St-Nicolas,St-Nicolas,Quebec,Québec,G7A 4Y5,Municipal or another local authority,Municipalité ou une autre autorité locale,Other,Autre,20830.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Activated Sludge, Biological Nutrient Removal (Nitrogen and Phosphorus), Disinfection","Dessablage, Dégrillage, Boues activées, Élimination biologique des nutriments (azote et phosphore), Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,,,,,46.7213,-71.2904,Estimated,Estimé,Final Discharge Point,Point de rejet final,Rivière Chaudière,Rivière Chaudière,Drinking water source,Source d'eau potable,Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
