Authority Name,Fiscal Year End Date,Has Outstanding Debt,Type Of Debt,Debt Program,Begin Amount Total,New Debt Issuance,Amount Retired,End Amount Total
Middletown Community Development Agency,12/31/2018,N,Authority Debt - Other,Other Non-State Funded,0.0,0.0,0.0,0.0
Niagara Falls Urban Renewal Agency,12/31/2018,N,,,,,,
Oneida County Sports Facility Authority,12/31/2018,N,,,,,,
Orange County Water Authority,12/31/2018,N,,,,,,
Saratoga Springs City Center Authority,12/31/2018,N,,,,,,
Schenectady Urban Renewal Agency,12/31/2018,N,,,,,,
Town of Erwin Urban Renewal Agency,12/31/2018,N,,,,,,
Town of North Hempstead Community Development Agency,12/31/2018,N,,,,,,
Town of Riverhead Community Development Agency,12/31/2018,N,,,,,,
Upper Mohawk Valley Regional Water Board,12/31/2018,N,,,,,,
Water Authority of Southeastern Nassau County,12/31/2018,N,,,,,,
Wilton Water and Sewer Authority,12/31/2018,N,,,,,,
Albany Community Development Agency,12/31/2018,,Authority Debt - Other,Other Non-State Funded,346241.0,0.0,91080.0,255161.0
Albany County Airport Authority,12/31/2018,,Authority Debt - Revenue,,77318000.0,22590000.0,9419000.0,90489000.0
Albany Municipal Water Finance Authority,12/31/2018,,Authority Debt - General Obligation,General Obligation,42878997.66,12415875.0,3677109.07,51617763.59
Albany Municipal Water Finance Authority,12/31/2018,,Authority Debt - Other,Other Non-State Funded,0.0,3019035.89,0.0,3019035.89
Albany Parking Authority,12/31/2018,,Authority Debt - Revenue,,13375000.0,5740000.0,9240000.0,9875000.0
Cayuga County Water and Sewer Authority,12/31/2018,,Authority Debt - General Obligation,General Obligation,3950466.0,0.0,63928.0,3886538.0
Cayuga County Water and Sewer Authority,12/31/2018,,Authority Debt - Revenue,,1095238.0,0.0,25000.0,1070238.0
Clifton Park Water Authority,12/31/2018,,Authority Debt - Revenue,,15940000.0,0.0,1300000.0,14640000.0
Dutchess County Resource Recovery Agency,12/31/2018,,Authority Debt - Revenue,,12130000.0,0.0,1170000.0,10960000.0
Dutchess County Water and Wastewater Authority,12/31/2018,,Authority Debt - Revenue,,36174915.0,4572388.0,1449290.0,39298013.0
Erie County Water Authority,12/31/2018,,Authority Debt - Revenue,,42968384.0,24900000.0,9380000.0,58488384.0
Gloversville Community Development Agency,12/31/2018,,Authority Debt - Other,Other Non-State Funded,150000.0,0.0,0.0,150000.0
Haverstraw Urban Renewal Agency,12/31/2018,,Authority Debt - General Obligation,General Obligation,2320000.0,0.0,150000.0,2170000.0
Islip Resource Recovery Authority,12/31/2018,,Authority Debt - Revenue,,6095000.0,0.0,1160000.0,4935000.0
Ithaca Urban Renewal Agency,12/31/2018,,Authority Debt - General Obligation,General Obligation,690000.0,0.0,60000.0,630000.0
Livingston County Water and Sewer Authority,12/31/2018,,Authority Debt - Revenue,,4037950.0,0.0,151725.0,3886225.0
Monroe County Airport Authority,12/31/2018,,Authority Debt - Revenue,,15969000.0,2000000.0,7779000.0,10190000.0
Monroe County Water Authority,12/31/2018,,Authority Debt - Revenue,,135125000.0,0.0,4375000.0,130750000.0
Nassau County Bridge Authority,12/31/2018,,Authority Debt - General Obligation,General Obligation,230000.0,0.0,230000.0,0.0
Nassau County Bridge Authority,12/31/2018,,Authority Debt - Other,Other Non-State Funded,8980000.0,0.0,250000.0,8730000.0
Nassau County Sewer and Storm Water Finance Authority,12/31/2018,,Authority Debt - Revenue,,133710000.0,0.0,10815000.0,122895000.0
Niagara Falls Public Water Authority,12/31/2018,,Authority Debt - Revenue,,95295000.0,0.0,3915000.0,91380000.0
Niagara Falls Water Board,12/31/2018,,Authority Debt - Revenue,,101805247.0,0.0,4100000.0,97705247.0
North Hempstead Solid Waste Management Authority,12/31/2018,,Authority Debt - Revenue,,890582.66,0.0,890582.66,0.0
Oneida-Herkimer Solid Waste Management Authority,12/31/2018,,Authority Debt - Revenue,,24777593.0,0.0,2315000.0,22462593.0
Onondaga County Resource Recovery Agency,12/31/2018,,Authority Debt - Revenue,,51025000.0,0.0,1860000.0,49165000.0
Onondaga County Water Authority,12/31/2018,,Authority Debt - Revenue,,56990000.0,0.0,3225000.0,53765000.0
Rensselaer County Water and Sewer Authority,12/31/2018,,Authority Debt - Revenue,,5970000.0,0.0,5970000.0,0.0
Rockland County Solid Waste Management Authority,12/31/2018,,Authority Debt - General Obligation,General Obligation,40600000.0,14950000.0,21010000.0,34540000.0
Saratoga County Water Authority,12/31/2018,,Authority Debt - Revenue,,44295000.0,0.0,695000.0,43600000.0
Schenectady Metroplex Development Authority,12/31/2018,,Authority Debt - General Obligation,General Obligation,55870000.0,7990000.0,11155000.0,52705000.0
Schenectady Metroplex Development Authority,12/31/2018,,Authority Debt - Other,Other Non-State Funded,703977.0,0.0,57315.0,646662.0
Suffolk County Judicial Facilities Agency,12/31/2018,,Authority Debt - Revenue,,60347490.0,0.0,0.0,60347490.0
Trust for Cultural Resources of the City of New York,12/31/2018,,Conduit Debt,Conduit Debt,1507160000.0,42905000.0,17995000.0,1532070000.0
Trust for Cultural Resources of the City of New York,12/31/2018,,Conduit Debt - Pilot Increment Financing,,22975000.0,0.0,3490000.0,19485000.0
Trust for Cultural Resources of the County of Onondaga,12/31/2018,,Conduit Debt,Conduit Debt,236965000.0,0.0,3970000.0,232995000.0
Ulster County Resource Recovery Agency,12/31/2018,,Authority Debt - Revenue,,7848755.0,0.0,2400000.0,5448755.0
Upper Mohawk Valley Memorial Auditorium Authority,12/31/2018,,Authority Debt - General Obligation,General Obligation,127000.0,0.0,0.0,127000.0
Upper Mohawk Valley Memorial Auditorium Authority,12/31/2018,,Authority Debt - Other,Other Non-State Funded,391621.96,0.0,391621.96,0.0
Upper Mohawk Valley Memorial Auditorium Authority,12/31/2018,,Authority Debt - Revenue,,0.0,1850000.0,73290.07,1776709.93
Water Authority of Great Neck North,12/31/2018,,Authority Debt - General Obligation,General Obligation,4378987.0,824600.0,107000.0,5096587.0
Water Authority of Great Neck North,12/31/2018,,Authority Debt - Revenue,,23065000.0,0.0,1585000.0,21480000.0
Wayne County Water and Sewer Authority,12/31/2018,,Authority Debt - General Obligation,General Obligation,390000.0,0.0,115000.0,275000.0
Wayne County Water and Sewer Authority,12/31/2018,,Authority Debt - Revenue,,1730000.0,0.0,130000.0,1600000.0
Yonkers Parking Authority,12/31/2018,,Authority Debt - Revenue,,1851494.0,0.0,175595.0,1675899.0
Genesee Valley Regional Market Authority,03/31/2019,N,,,,,,
Utica Urban Renewal Agency,03/31/2019,N,,,,,,
Upper Mohawk Valley Regional Water Finance Authority,03/31/2019,,Authority Debt - Other,Other Non-State Funded,5412640.61,0.0,162207.61,5250433.0
Upper Mohawk Valley Regional Water Finance Authority,03/31/2019,,Authority Debt - Revenue,,59267288.0,0.0,4058028.0,55209260.0
Nyack Parking Authority,05/31/2019,N,,,,,,
Syracuse Parking Authority,05/31/2019,N,,,,,,
Victor Urban Renewal Agency,05/31/2019,N,,,,,,
Village of Rockville Centre Community Development Agency,05/31/2019,N,,,,,,
Green Island Power Authority,05/31/2019,,Authority Debt - Revenue,,12055000.0,0.0,965000.0,11090000.0
Suffolk County Water Authority,05/31/2019,,Authority Debt - Revenue,,801999499.0,100000000.0,8117059.35,893882439.65
Water Authority of Western Nassau County,05/31/2019,,Authority Debt - Revenue,,105535000.0,0.0,2490000.0,103045000.0
Amsterdam Urban Renewal Agency,06/30/2019,N,,,,,,
Buffalo Urban Renewal Agency,06/30/2019,N,,,,,,
Buffalo Water Board,06/30/2019,N,,,,,,
New York City School Construction Authority,06/30/2019,N,,,,,,
New York City Water Board,06/30/2019,N,,,,,,
Olean Urban Renewal Agency,06/30/2019,N,,,,,,
Rochester Urban Renewal Agency,06/30/2019,N,,,,,,
Syracuse Urban Renewal Agency,06/30/2019,N,,,,,,
Town of Islip Community Development Agency,06/30/2019,N,,,,,,
Village of Elmira Heights Urban Renewal Agency,06/30/2019,N,,,,,,
White Plains Urban Renewal Agency,06/30/2019,N,,,,,,
American Museum of Natural History Planetarium Authority,06/30/2019,,Authority Debt - Other,Other Non-State Funded,570000.0,0.0,0.0,570000.0
Buffalo Municipal Water Finance Authority,06/30/2019,,Authority Debt - Revenue,,119891728.0,41175542.0,25931025.0,135136245.0
Buffalo Sewer Authority,06/30/2019,,Authority Debt - Revenue,,38510713.0,0.0,1725000.0,36785713.0
Franklin County Solid Waste Management Authority,06/30/2019,,Authority Debt - Revenue,,21389579.0,0.0,6080012.0,15309567.0
New York City Educational Construction Fund,06/30/2019,,Authority Debt - Revenue,,231200000.0,40350000.0,53195000.0,218355000.0
New York City Health and Hospitals Corporation,06/30/2019,,Authority Debt - Revenue,,679680000.0,0.0,56020000.0,623660000.0
New York City Municipal Water Finance Authority,06/30/2019,,Authority Debt - Revenue,,30015402175.14,3184328040.0,3153824294.0,30045905921.14
New York City Transitional Finance Authority,06/30/2019,,Authority Debt - Revenue,,35411050000.0,4475000000.0,1372710000.0,38513340000.0
New York City Transitional Finance Authority,06/30/2019,,Other State-Funded,MBBA SPECIAL PURPOSE SCHOOL AID BONDS,7944255000.0,2455485000.0,2288610000.0,8111130000.0
Freeport Community Development Agency,08/31/2019,N,,,,,,
Village of Fairport Urban Renewal Agency,09/30/2019,N,,,,,,
New York City Housing Development Corporation,10/31/2019,,Authority Debt - Revenue,,7638600065.0,2139345000.0,1285706329.0,8492238736.0
New York City Housing Development Corporation,10/31/2019,,Conduit Debt,Conduit Debt,4025847194.99,117420587.72,229014332.29,3914253450.42
Albany Port District Commission,12/31/2019,N,,,,,,
Albany Water Board,12/31/2019,N,,,,,,
Binghamton Urban Renewal Agency,12/31/2019,N,,,,,,
"Chautauqua, Cattaraugus, Allegany and Steuben Southern Tier Extension Railroad Authority",12/31/2019,N,,,,,,
Eastern Rensselaer County Solid Waste Management Authority,12/31/2019,N,,,,,,
Elmira Urban Renewal Agency,12/31/2019,N,,,,,,
Glen Cove Community Development Agency,12/31/2019,N,,,,,,
Glens Falls Urban Renewal Agency,12/31/2019,N,,,,,,
Harrison Parking Authority,12/31/2019,N,,,,,,
Jamestown Urban Renewal Agency,12/31/2019,N,,,,,,
Middletown Community Development Agency,12/31/2019,N,,,,,,
Niagara Falls Urban Renewal Agency,12/31/2019,N,,,,,,
North Hempstead Solid Waste Management Authority,12/31/2019,N,,,,,,
Oneida County Sports Facility Authority,12/31/2019,N,,,,,,
Orange County Water Authority,12/31/2019,N,,,,,,
Rensselaer County Water and Sewer Authority,12/31/2019,N,,,,,,
Schenectady Urban Renewal Agency,12/31/2019,N,,,,,,
Town of Erwin Urban Renewal Agency,12/31/2019,N,,,,,,
Town of North Hempstead Community Development Agency,12/31/2019,N,,,,,,
Upper Mohawk Valley Regional Water Board,12/31/2019,N,,,,,,
Water Authority of Southeastern Nassau County,12/31/2019,N,,,,,,
Albany County Airport Authority,12/31/2019,,Authority Debt - Revenue,,90489000.0,9620000.0,7554000.0,92555000.0
Albany Municipal Water Finance Authority,12/31/2019,,Authority Debt - General Obligation,General Obligation,51617763.59,0.0,3887994.93,47729768.66
Albany Municipal Water Finance Authority,12/31/2019,,Authority Debt - Other,Other Non-State Funded,3019035.89,0.0,110268.35,2908767.54
Albany Parking Authority,12/31/2019,,Authority Debt - Revenue,,9875000.0,0.0,1115000.0,8760000.0
Cayuga County Water and Sewer Authority,12/31/2019,,Authority Debt - General Obligation,General Obligation,3886538.0,0.0,65174.0,3821364.0
Cayuga County Water and Sewer Authority,12/31/2019,,Authority Debt - Revenue,,1070238.0,0.0,30000.0,1040238.0
Clifton Park Water Authority,12/31/2019,,Authority Debt - Revenue,,14640000.0,0.0,1360000.0,13280000.0
Dutchess County Resource Recovery Agency,12/31/2019,,Authority Debt - Revenue,,10960000.0,0.0,1015000.0,9945000.0
Dutchess County Water and Wastewater Authority,12/31/2019,,Authority Debt - Revenue,,39298013.0,1315000.0,1420337.0,39192676.0
Erie County Water Authority,12/31/2019,,Authority Debt - Revenue,,58488384.0,0.0,4205000.0,54283384.0
Gloversville Community Development Agency,12/31/2019,,Authority Debt - Other,Other Non-State Funded,150000.0,0.0,0.0,150000.0
Haverstraw Urban Renewal Agency,12/31/2019,,Authority Debt - General Obligation,General Obligation,2170000.0,0.0,170000.0,2000000.0
Islip Resource Recovery Authority,12/31/2019,,Authority Debt - Revenue,,4935000.0,0.0,1190000.0,3745000.0
Ithaca Urban Renewal Agency,12/31/2019,,Authority Debt - General Obligation,General Obligation,630000.0,0.0,100000.0,530000.0
Livingston County Water and Sewer Authority,12/31/2019,,Authority Debt - Revenue,,3886225.0,0.0,151725.0,3734500.0
Monroe County Airport Authority,12/31/2019,,Authority Debt - Revenue,,10190000.0,0.0,8575000.0,1615000.0
Monroe County Water Authority,12/31/2019,,Authority Debt - Revenue,,130750000.0,0.0,4860000.0,125890000.0
Nassau County Bridge Authority,12/31/2019,,Authority Debt - Other,Other Non-State Funded,8730000.0,0.0,250000.0,8480000.0
Nassau County Sewer and Storm Water Finance Authority,12/31/2019,,Authority Debt - Revenue,,122895000.0,0.0,11370000.0,111525000.0
Niagara Falls Water Board,12/31/2019,,Authority Debt - General Obligation,General Obligation,91380000.0,0.0,8475000.0,82905000.0
Niagara Falls Water Board,12/31/2019,,Authority Debt - Revenue,,97705247.0,0.0,4269607.0,93435640.0
Oneida-Herkimer Solid Waste Management Authority,12/31/2019,,Authority Debt - Revenue,,22462593.0,0.0,2395000.0,20067593.0
Onondaga County Resource Recovery Agency,12/31/2019,,Authority Debt - Revenue,,49165000.0,10835000.0,1935000.0,58065000.0
Onondaga County Water Authority,12/31/2019,,Authority Debt - Revenue,,53765000.0,41235000.0,3270000.0,91730000.0
Rockland County Solid Waste Management Authority,12/31/2019,,Authority Debt - General Obligation,General Obligation,34540000.0,0.0,3865000.0,30675000.0
Saratoga County Water Authority,12/31/2019,,Authority Debt - Revenue,,43600000.0,0.0,725000.0,42875000.0
Schenectady Metroplex Development Authority,12/31/2019,,Authority Debt - General Obligation,General Obligation,52705000.0,14360000.0,15710000.0,51355000.0
Schenectady Metroplex Development Authority,12/31/2019,,Authority Debt - Other,Other Non-State Funded,646662.0,0.0,59889.0,586773.0
Suffolk County Judicial Facilities Agency,12/31/2019,,Authority Debt - Revenue,,57806198.0,0.0,2820806.0,54985392.0
Trust for Cultural Resources of the City of New York,12/31/2019,,Conduit Debt,Conduit Debt,1532070000.0,87540000.0,166791146.64,1452818853.36
Trust for Cultural Resources of the City of New York,12/31/2019,,Conduit Debt - Pilot Increment Financing,,19485000.0,0.0,3250000.0,16235000.0
Trust for Cultural Resources of the County of Onondaga,12/31/2019,,Conduit Debt,Conduit Debt,232995000.0,317720000.0,34325000.0,516390000.0
Ulster County Resource Recovery Agency,12/31/2019,,Authority Debt - Revenue,,5448755.0,0.0,810566.0,4638189.0
Water Authority of Great Neck North,12/31/2019,,Authority Debt - General Obligation,General Obligation,5096587.0,1971787.0,131000.0,6937374.0
Water Authority of Great Neck North,12/31/2019,,Authority Debt - Revenue,,21480000.0,19800000.0,1610000.0,39670000.0
Wayne County Water and Sewer Authority,12/31/2019,,Authority Debt - General Obligation,General Obligation,275000.0,0.0,115000.0,160000.0
Wayne County Water and Sewer Authority,12/31/2019,,Authority Debt - Revenue,,1600000.0,0.0,145000.0,1455000.0
