Appeal Type,Appeal Subtype,Agency,Status,Date Filed,Date Closed,Exam No.,Title,Expiration,Extension,Acronym
Section 50,Character,Police Department - NYPD,Closed,06/09/2017,10/04/2017,3308.0,Police Officer,06/22/2019,,NYPD
Section 50,Unauthorized Substance,Police Department - NYPD,Closed,06/09/2017,08/18/2017,6318.0,School Safety Agent,02/01/2021,,NYPD
Waiting for DQ,,Police Department - NYPD,Closed,06/09/2017,07/19/2017,,,,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,06/09/2017,11/16/2017,4307.0,School Safety Agent,01/07/2020,,NYPD
Section 50,Character,Police Department - NYPD,Open,06/09/2017,,4300.0,Police Officer,12/22/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,06/09/2017,09/21/2017,4312.0,Police Officer,06/22/2020,,NYPD
Section 50,Character,Department of Correction - DOC,Closed,06/09/2017,11/13/2017,6332.0,Correction Officer,09/22/2020,,DOC
Section 50,Character,Department of Correction - DOC,Closed,06/09/2017,12/14/2017,4311.0,Correction Officer,09/24/2019,,DOC
Section 50,Character,Fire Department - FDNY,Closed,06/08/2017,06/12/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,06/08/2017,,7011.0,Administrative Community Relations,09/20/2021,,DCAS
Section 76,Demotion,Housing Authority - NYCHA,Closed,06/08/2017,10/30/2017,,,,,NYCHA
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,06/08/2017,08/24/2017,6033.0,Maintenance Worker,05/10/2021,,DCAS
Section 50,Psych,Department of Correction - DOC,Open,06/08/2017,,6315.0,Correction Officer,06/15/2020,,DOC
Section 76,Suspension,Human Resources Administration - HRA,Closed,06/08/2017,08/09/2017,,,,,HRA
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,06/08/2017,07/19/2017,,,,,DCAS
Section 50,Character,Police Department - NYPD,Closed,06/07/2017,10/27/2017,3319.0,Police Officer,12/21/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,06/07/2017,,3004.0,Administrative Investigator,09/30/2019,,DCAS
Section 50,Unauthorized Substance,Police Department - NYPD,Closed,06/07/2017,11/13/2017,6310.0,Police Communications Technician,12/28/2020,,NYPD
Section 50,Character,Fire Department - FDNY,Closed,06/06/2017,06/12/2017,2000.0,Firefighter,06/26/2017,,FDNY
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,06/06/2017,06/21/2017,,,,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,06/06/2017,06/13/2017,,,,,DCAS
Section 50,Medical,Police Department - NYPD,Open,06/06/2017,,5317.0,Police Officer,,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,06/06/2017,06/06/2017,7045.0,School Computer Technology Specialist DOE,,,DCAS
Section 50,Medical,Department of Correction - DOC,Open,06/06/2017,,7329.0,Correction Officer,02/15/2021,,DOC
Section 50,Psych,Police Department - NYPD,Closed,06/05/2017,12/05/2017,2053.0,Police Officer,06/17/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,06/05/2017,09/28/2017,5013.0,Associate Project Manager,10/05/2020,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,06/05/2017,08/10/2017,6033.0,Maintenance Worker,05/10/2021,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,06/02/2017,06/21/2017,,,,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,06/02/2017,11/14/2017,5502.0,Promotional Police Officer,06/17/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,06/02/2017,10/27/2017,4300.0,Police Officer,12/22/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,06/02/2017,10/23/2017,3313.0,Police Officer,09/24/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,06/02/2017,07/27/2017,2302.0,Police Officer,04/30/2018,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,06/01/2017,10/03/2017,4064.0,Mason's Helper,12/23/2019,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,06/01/2017,09/19/2017,6047.0,Health Services Manager,05/24/2021,,DCAS
Section 50,Character,Police Department - NYPD,Closed,05/31/2017,10/12/2017,3315.0,Police Officer,12/10/2019,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,05/30/2017,06/13/2017,,,,,DCAS
Section 50,Character,Fire Department - FDNY,Closed,05/30/2017,06/08/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Character,Fire Department - FDNY,Closed,05/30/2017,06/08/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/30/2017,08/31/2017,6067.0,City Planner,,,DCAS
Section 50,Character,Fire Department - FDNY,Closed,05/30/2017,06/08/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Character,Police Department - NYPD,Closed,05/30/2017,10/12/2017,2344.0,Police Officer,06/19/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/30/2017,10/20/2017,6047.0,Health Services Manager,05/24/2021,,DCAS
Section 50,Character,Department of Correction - DOC,Closed,05/30/2017,10/20/2017,4318.0,Correction Officer,11/04/2019,,DOC
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,05/30/2017,,5517.0,Promotion to Administrative Staff Analyst,08/17/2020,,DCAS
Section 50,Character,Police Department - NYPD,Closed,05/30/2017,08/14/2017,4300.0,Police Officer,12/22/2019,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,05/26/2017,,6066.0,Juvenile Counselor,05/10/2021,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,05/26/2017,08/17/2017,7011.0,Administrative Community  Relations Specialist,,,DCAS
Section 50,Character,Department of Correction - DOC,Closed,05/26/2017,10/13/2017,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Character,Police Department - NYPD,Closed,05/26/2017,09/08/2017,3318.0,Police Officer,12/17/2019,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,05/26/2017,05/31/2017,5522.0,Associate Job Opportunity Specialist (PROM),03/22/2021,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,05/25/2017,08/24/2017,5032.0,Gardener,10/26/2020,,DCAS
Section 50,Character,Fire Department - FDNY,Closed,05/25/2017,06/08/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Character,Police Department - NYPD,Closed,05/25/2017,10/03/2017,4300.0,Police Officer,12/22/2019,,NYPD
Section 50,Medical,Police Department - NYPD,Closed,05/25/2017,08/30/2017,5305.0,Police Officer,03/02/2021,,NYPD
Section 50,Character,Department of Correction - DOC,Closed,05/25/2017,09/01/2017,4311.0,Correction Officer,09/24/2019,,DOC
Section 50,Psych,Department of Correction - DOC,Open,05/25/2017,,3329.0,Special Officer,05/18/2020,,DOC
Section 50,Character,Police Department - NYPD,Open,05/24/2017,,6502.0,Police Officer,06/22/2020,,NYPD
Duplicate Filing,,Police Department - NYPD,Closed,05/24/2017,,,,,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,05/24/2017,05/25/2017,5537.0,Principal Administrative Associate,02/22/2021,,DCAS
Section 50,Medical,Police Department - NYPD,Closed,05/24/2017,10/10/2017,4324.0,Police Officer,09/14/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/23/2017,07/24/2017,6067.0,City Planner,,,DCAS
Section 50,Medical,Police Department - NYPD,Closed,05/23/2017,06/20/2017,5322.0,School Safety Agent,10/05/2020,,NYPD
Waiting for Appeal Request,,Department of Citywide Administrative Services - DCAS,Closed,05/23/2017,07/07/2017,,,,,DCAS
Section 50,Character,Police Department - NYPD,Closed,05/22/2017,12/01/2017,4000.0,Police Officer,12/24/2019,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,05/22/2017,08/24/2017,6055.0,Project Manager Intern,01/11/2021,,DCAS
Section 50,Psych,Department of Correction - DOC,Open,05/22/2017,,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Character,Police Department - NYPD,Closed,05/22/2017,06/29/2017,3319.0,Police Officer,12/21/2019,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,05/22/2017,07/07/2017,,,,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,05/22/2017,07/19/2017,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/22/2017,12/20/2017,6067.0,City Planner,06/21/2021,,DCAS
Section 50,Character,Police Department - NYPD,Closed,05/22/2017,08/11/2017,3318.0,Police Officer,12/17/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Open,05/22/2017,,4325.0,School Safety Agent,04/28/2020,,NYPD
Section 50,Character,Department of Correction - DOC,Closed,05/19/2017,12/27/2017,3302.0,Correction Officer,05/29/2019,,DOC
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,05/16/2017,06/09/2017,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/19/2017,12/07/2017,7011.0,Administrative Community Relations Specialist,09/20/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/19/2017,12/05/2017,6067.0,City Planner,06/21/2021,,DCAS
Section 50,Character,Police Department - NYPD,Closed,05/19/2017,10/03/2017,4300.0,Police Officer,12/22/2019,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,05/19/2017,12/05/2017,7011.0,Administrative Community Relations Specialist,09/20/2021,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,05/19/2017,,5010.0,Administrative Manager,09/28/2020,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/19/2017,11/21/2017,6047.0,Health Services Manager,05/24/2021,,DCAS
Section 76,Termination,Transit Authority - NYCTA,Closed,05/19/2017,06/13/2017,,,,,NYCTA
Section 50,Character,Police Department - NYPD,Closed,05/18/2017,09/28/2017,2326.0,Police Officer,07/02/2018,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,05/18/2017,10/04/2017,6007.0,Investigator,10/26/2020,,DCAS
Section 50,Character,Police Department - NYPD,Closed,05/18/2017,10/04/2017,3319.0,Police Officer,12/21/2019,,NYPD
Waiting for Appeal Request,,Department of Citywide Administrative Services - DCAS,Closed,05/18/2017,06/21/2017,,,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,05/18/2017,08/10/2017,7011.0,Administrative Community Relations Specialist,,,DCAS
Section 50,Character,Police Department - NYPD,Closed,05/18/2017,08/29/2017,3318.0,Police Officer,12/17/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,05/18/2017,,5018.0,Computer Service Technician,06/14/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,05/18/2017,,6067.0,City Planner,06/21/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/18/2017,08/02/2017,6067.0,City Planner,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,05/18/2017,,6067.0,City Planner,06/21/2021,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,05/17/2017,,6057.0,Call Center Representative,07/12/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,05/17/2017,,5039.0,Principal Administrative Associate,07/19/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/17/2017,07/20/2017,7035.0,Administrative Director of Social Services,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,05/17/2017,,3020.0,Customer Information Representative,12/17/2018,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,05/17/2017,05/18/2017,5537.0,Principal Administrative Associate (PROM),02/22/2021,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,05/17/2017,06/06/2017,2326.0,Police Officer,07/02/2018,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,05/17/2017,,7035.0,Administrative Director of Social Services,07/19/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,05/17/2017,,6067.0,City Planner,06/21/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/17/2017,08/31/2017,6067.0,City Planner,,,DCAS
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Closed,05/17/2017,12/14/2017,5537.0,Promotion to Principal Administrative Associate,02/22/2021,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,05/16/2017,08/21/2017,4316.0,Police Officer,08/24/2020,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,05/16/2017,06/09/2017,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,05/16/2017,,5018.0,Computer Service Technician,06/14/2021,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,05/16/2017,06/01/2017,4313.0,Police Officer,06/23/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/16/2017,06/07/2017,6067.0,City Planner,,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,05/16/2017,,5516.0,Promotion to Administrative Manager,08/17/2020,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,05/15/2017,09/22/2017,3317.0,Police Officer,12/16/2019,,NYPD
Section 50,Medical,Fire Department - FDNY,Closed,05/15/2017,06/08/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,05/15/2017,,5517.0,Promotion to Administrative Staff Analyst,08/17/2020,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,05/15/2017,,6067.0,City Planner,06/21/2021,,DCAS
Section 50,Unauthorized Substance,Police Department - NYPD,Closed,05/15/2017,08/07/2017,6306.0,School Safety Agent,10/20/2020,,NYPD
Section 50,Character,Police Department - NYPD,Closed,05/15/2017,06/26/2017,3309.0,Police Officer,06/23/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/15/2017,06/13/2017,8098.0,Train Operator,09/19/2017,,DCAS
Section 50,Character,Police Department - NYPD,Closed,05/15/2017,08/14/2017,4300.0,Police Officer,12/22/2019,,NYPD
Section 50,Character,Department of Correction - DOC,Closed,05/15/2017,12/15/2017,6332.0,Correction Officer,09/22/2020,,DOC
Section 50,Character,Police Department - NYPD,Closed,05/15/2017,08/09/2017,3309.0,Police Officer,06/23/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/15/2017,07/07/2017,8098.0,Train Operator,09/19/2017,,DCAS
Section 50,Character,Police Department - NYPD,Closed,05/15/2017,08/30/2017,3319.0,Police Officer,12/21/2019,,NYPD
Section 76,Termination,Human Resources Administration - HRA,Closed,05/15/2017,10/10/2017,,,,,HRA
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,05/12/2017,,6067.0,City Planner,06/21/2021,,DCAS
Section 50,Medical,Fire Department - FDNY,Closed,05/12/2017,06/08/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Medical,Police Department - NYPD,Closed,05/12/2017,08/11/2017,4312.0,Police Officer,06/22/2020,,NYPD
Section 50,Character,Department of Correction - DOC,Closed,05/12/2017,08/28/2017,6332.0,Correction Officer,09/22/2020,,DOC
Section 50,Education and Experience,Transit Authority - NYCTA,Closed,05/11/2017,07/26/2017,5612.0,Transit Electrical Helper,,,NYCTA
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/11/2017,06/08/2017,8098.0,Train Operator,09/19/2017,,DCAS
Section 50,Character,Police Department - NYPD,Closed,05/11/2017,08/09/2017,3324.0,School Safety Agent,05/30/2018,,NYPD
Section 50,Character,Police Department - NYPD,Closed,05/11/2017,08/29/2017,3319.0,Police Officer,12/21/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/10/2017,12/08/2017,5018.0,Computer Service Technician,06/14/2021,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,05/10/2017,06/13/2017,,,,,DCAS
Section 50,Character,Police Department - NYPD,Closed,05/10/2017,07/17/2017,4059.0,Police Administrative Aide,08/05/2019,,NYPD
Section 76,Termination,Housing Authority - NYCHA,Closed,05/08/2017,11/27/2017,,,,,NYCHA
Section 50,Character,Department of Correction - DOC,Closed,05/08/2017,10/26/2017,7320.0,Correction Officer,01/11/2021,,DOC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/08/2017,08/21/2017,8098.0,Train Operator,09/19/2017,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/08/2017,06/13/2017,8098.0,Train Operator,09/19/2017,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/08/2017,08/11/2017,6067.0,City Planner,06/21/2021,,DCAS
Section 50,Medical,Fire Department - FDNY,Closed,05/05/2017,06/27/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Psych,Police Department - NYPD,Closed,05/05/2017,07/26/2017,3312.0,Police Officer,09/23/2019,,NYPD
Section 50,Medical,Fire Department - FDNY,Closed,05/05/2017,06/09/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/05/2017,11/29/2017,5018.0,Computer Service Technician,06/14/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,05/05/2017,09/18/2017,5018.0,Computer Service Technician,,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,05/05/2017,,5517.0,Promotion to Adminstrative Staff Analyst,08/17/2020,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,05/04/2017,08/15/2017,4312.0,Police Officer,06/22/2020,,NYPD
Section 50,Character,Police Department - NYPD,Closed,05/04/2017,08/14/2017,3318.0,Police Officer,12/17/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,05/04/2017,08/16/2017,3319.0,Police Officer,12/21/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Open,05/04/2017,,3315.0,Police Officer,12/10/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,05/04/2017,06/21/2017,3318.0,Police Officer,12/17/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,05/04/2017,08/15/2017,4300.0,Police Officer,12/22/2019,,NYPD
Section 76,Suspension,Department of Correction - DOC,Closed,05/04/2017,12/14/2017,,,,,DOC
Section 50,Character,Police Department - NYPD,Closed,05/03/2017,07/06/2017,4300.0,Police Officer,12/22/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,05/03/2017,08/16/2017,3318.0,Police Officer,12/17/2019,,NYPD
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,05/03/2017,09/06/2017,5604.0,Structure Maintainer Group G,05/10/2021,,NYCT
Section 50,Character,Police Department - NYPD,Closed,05/02/2017,08/11/2017,4300.0,Police Officer,12/22/2019,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,05/02/2017,,5026.0,Electrician's Helper,01/04/2021,,DCAS
Section 76,Suspension,Human Resources Administration - HRA,Closed,05/02/2017,09/25/2017,,,,,HRA
Section 50,Psych,Department of Environmental Protection - DEP,Closed,05/01/2017,08/25/2017,5332.0,Environmental Police Officer,11/19/2019,,DEP
Section 50,Medical,Fire Department - FDNY,Closed,05/01/2017,06/27/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Character,Fire Department - FDNY,Closed,05/01/2017,06/07/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Psych,Department of Correction - DOC,Closed,05/01/2017,12/19/2017,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,05/01/2017,08/09/2017,5604.0,Structure Maintainer Group G,05/10/2021,,NYCT
Section 50,Medical,Fire Department - FDNY,Closed,05/01/2017,10/26/2017,6003.0,Emergency Medical Specialist - EMT,02/24/2020,,FDNY
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,05/01/2017,09/18/2017,6610.0,Power Electronic Technician,06/07/2021,,NYCT
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,05/01/2017,,5018.0,Computer Service Technician,06/14/2021,,DCAS
Section 50,Character,Police Department - NYPD,Closed,04/28/2017,08/16/2017,3316.0,Police Officer,12/14/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Open,04/28/2017,,2312.0,School Safety Agent,01/31/2018,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,04/28/2017,05/08/2017,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,04/28/2017,06/02/2017,8098.0,Train Operator,09/19/2017,,DCAS
Section 50,Character,Police Department - NYPD,Closed,04/28/2017,06/16/2017,3315.0,Police Officer,12/10/2019,,NYPD
Section 50,Seniority,Department of Citywide Administrative Services - DCAS,Open,04/28/2017,,5537.0,Promotion to Principal Administrative Associate,02/22/2021,,DCAS
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,04/28/2017,09/06/2017,5604.0,Structure Maintainer Group G,05/10/2021,,NYCT
Section 50,Medical,Police Department - NYPD,Closed,04/27/2017,08/21/2017,3308.0,Police Officer,06/22/2019,,NYPD
Section 50,Unauthorized Substance,Police Department - NYPD,Closed,04/27/2017,08/09/2017,5327.0,School Safety Agent,10/06/2020,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,04/27/2017,,5011.0,Administrative Staff Analyst,09/28/2020,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,04/27/2017,09/18/2017,6006.0,Heating Plant Technician (Housing Authority),01/04/2021,,DCAS
Section 50,Medical,Police Department - NYPD,Closed,04/27/2017,10/30/2017,3324.0,School Safety Agent,05/30/2018,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,04/26/2017,,5018.0,Computer Service Technician,06/14/2021,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,04/25/2017,06/26/2017,6050.0,Estimator(General Construction),02/01/2021,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,04/25/2017,06/26/2017,6067.0,City Planner,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,04/25/2017,11/09/2017,5018.0,Computer Service Technician,06/14/2021,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,04/25/2017,,5010.0,Administrative Manager,09/28/2020,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,04/25/2017,,5516.0,Promotion to Administrative Manager,08/17/2020,,DCAS
Section 76,Termination,Housing Authority - NYCHA,Closed,04/24/2017,10/13/2017,,,,,NYCHA
Duplicate Filing,,Housing Authority - NYCHA,Closed,04/24/2017,04/24/2017,,,,,NYCHA
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,04/24/2017,06/06/2017,8098.0,Train Operator,09/19/2017,,DCAS
Section 50,Medical,Fire Department - FDNY,Closed,04/24/2017,06/09/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Medical,Police Department - NYPD,Closed,04/24/2017,08/15/2017,6319.0,Traffic Enforcement Agent,10/19/2020,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,04/24/2017,,5011.0,Administrative Staff Analyst,09/28/2020,,DCAS
Section 50,Medical,Fire Department - FDNY,Closed,04/24/2017,05/05/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Unauthorized Substance,Police Department - NYPD,Closed,04/24/2017,08/15/2017,6306.0,School Safety Agent,10/20/2020,,NYPD
Section 50,Medical,Police Department - NYPD,Closed,04/24/2017,08/09/2017,6303.0,Traffic Enforcement Agent,06/15/2020,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,04/24/2017,06/02/2017,4335.0,Police Communications Technician,11/14/2017,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,04/24/2017,05/23/2017,8098.0,Train Operator,09/19/2017,,DCAS
Section 50,Character,Police Department - NYPD,Closed,04/23/2017,10/27/2017,2054.0,Police Officer,06/18/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,04/21/2017,11/02/2017,3308.0,Police Officer,06/22/2019,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,04/21/2017,09/11/2017,5010.0,Administrative Manager,09/28/2020,,DCAS
Section 50,Character,Police Department - NYPD,Closed,04/21/2017,07/31/2017,5330.0,Police Communications Technician,09/15/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,04/20/2017,09/01/2017,6044.0,Fraud Investigator,,,DCAS
Duplicate Filing,,Department of Citywide Administrative Services - DCAS,Closed,04/20/2017,04/21/2017,,,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,04/20/2017,09/11/2017,6043.0,Construction Project Manager Intern,,,DCAS
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,04/20/2017,06/29/2017,5604.0,Structure Maintainer Group G,,,NYCT
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,04/20/2017,,5516.0,Promotion to Administrative Manager,08/17/2020,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,04/19/2017,08/08/2017,3316.0,Police Officer,12/14/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,04/19/2017,07/13/2017,2326.0,Police Officer,07/02/2018,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,04/19/2017,11/16/2017,2326.0,Police Officer,07/02/2018,,NYPD
Section 50,Medical,Department of Sanitation - DSNY,Open,04/19/2017,,5001.0,Sanitation Worker,03/16/2020,,DSNY
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,04/19/2017,,5517.0,Promotion to Administrative Staff Analyst,08/17/2020,,DCAS
Section 50,Character,Police Department - NYPD,Closed,04/19/2017,06/26/2017,4335.0,Police Communications Technician,11/14/2017,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,04/19/2017,,5517.0,Promotion to Administrative Staff Analyst,08/17/2020,,DCAS
Section 50,Character,Police Department - NYPD,Closed,04/19/2017,05/10/2017,2311.0,Police Officer,05/01/2018,,NYPD
Section 50,,Department of Citywide Administrative Services - DCAS,Closed,01/20/2017,03/24/2017,,,,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,04/18/2017,05/22/2017,,,,,DCAS
Section 50,Education and Experience,Transit Authority - NYCTA,Closed,04/17/2017,06/14/2017,5612.0,Transit Electrical Helper,,,NYCTA
Waiting for DQ,,Police Department - NYPD,Closed,04/16/2017,06/09/2017,,,,,NYPD
Section 50,Medical,Department of Correction - DOC,Closed,04/14/2017,08/09/2017,7320.0,Correction Officer,01/11/2021,,DOC
Section 50,Psych,Police Department - NYPD,Closed,04/13/2017,09/01/2017,3319.0,Police Officer,12/21/2019,,NYPD
Section 50,Character,Police Department - NYPD,Closed,04/13/2017,06/22/2017,4335.0,Police Communications Technician,11/14/2017,,NYPD
Section 50,Psych,Department of Correction - DOC,Closed,04/13/2017,09/07/2017,6308.0,Correction Officer,03/02/2020,,DOC
