Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
IA,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,3132499,21,777.0,,,,375,16.2,12.05,20.33,0.0,295,10.0,6.37,14.22,0.0,285,8.3,4.83,11.66,0.0,434,10.5,7.62,13.73,0.0,542,15.4,8.96,23.5,0.0,976,13.0,9.28,18.19,0.0,407225.0,290696.0,569802.0,True,False
ID,"Oct 5 - Oct 21, 2020",6,Statewide,Statewide,1687809,10,777.0,,,,366,6.9,3.82,10.46,0.0,247,4.2,1.11,8.18,0.0,362,3.4,1.68,5.53,0.0,398,3.1,1.51,5.77,0.0,587,5.2,2.83,8.58,0.0,985,4.2,2.64,6.02,0.0,70888.0,44558.0,101606.0,False,False
IL,"Oct 7 - Oct 13, 2020",6,Statewide,Statewide,12821497,246,3.5,1.49,5.96,0.0,244,8.6,5.2,12.31,0.0,245,3.6,1.48,6.28,0.0,244,4.1,1.8,7.2,0.0,426,4.4,2.19,6.69,0.0,553,7.1,4.47,9.75,0.0,979,5.8,4.14,7.54,0.0,743647.0,530810.0,966741.0,True,False
IN,"Oct 7 - Oct 20, 2020",6,Statewide,Statewide,6637426,18,777.0,,,,681,3.4,1.73,5.21,0.0,263,4.5,1.2,9.51,0.0,261,1.3,0.12,2.75,0.0,305,1.6,0.22,3.72,0.0,918,7.5,3.03,13.44,0.0,1223,4.6,2.27,7.83,0.0,305322.0,150670.0,519710.0,True,False
KS,"Oct 6 - Oct 22, 2020",6,Statewide,Statewide,2908776,239,7.6,3.85,11.44,0.0,242,9.1,5.13,13.39,0.0,242,4.1,1.57,6.99,0.0,244,4.6,1.84,7.83,0.0,433,8.1,5.23,11.37,0.0,534,6.1,3.79,8.52,0.0,967,7.1,5.16,9.18,0.0,206523.0,150093.0,267026.0,True,False
KY,"Oct 7 - Oct 16, 2020",6,Statewide,Statewide,4440204,39,777.0,,,,376,4.8,2.46,7.1,0.0,288,3.7,1.52,6.23,0.0,277,1.4,0.24,3.13,0.0,429,2.3,0.8,4.05,0.0,551,4.3,2.38,6.68,0.0,980,3.3,1.95,4.72,0.0,146527.0,86584.0,209578.0,True,False
LA,"Oct 6 - Oct 19, 2020",6,Statewide,Statewide,4663616,245,16.7,11.88,22.52,0.0,245,9.2,5.08,13.91,0.0,245,6.0,2.79,9.43,0.0,245,5.0,2.58,8.37,0.0,376,8.9,5.62,13.09,0.0,604,10.7,7.64,13.87,0.0,980,9.8,7.36,12.46,0.0,457034.0,343242.0,581087.0,True,False
MA,"Oct 9 - Oct 13, 2020",6,Statewide,Statewide,6830193,243,3.0,0.79,5.69,0.0,245,2.2,0.43,4.42,0.0,248,3.2,1.17,5.81,0.0,243,2.1,0.37,4.25,0.0,433,2.4,0.78,4.28,0.0,546,2.7,1.24,4.36,0.0,979,2.6,1.5,3.88,0.0,177585.0,102453.0,265011.0,True,False
MD,"Oct 10 - Oct 21, 2020",6,Statewide,Statewide,6003435,40,777.0,,,,187,18.9,13.19,25.63,0.0,205,6.6,3.2,10.52,0.0,195,3.8,1.41,6.94,0.0,357,15.2,10.89,20.46,0.0,270,7.8,3.76,12.98,0.0,627,11.4,8.27,14.84,0.0,684392.0,496484.0,890910.0,True,False
ME,"Oct 9 - Oct 22, 2020",6,Statewide,Statewide,1332813,35,777.0,,,,379,0.5,0.0,1.41,1.0,255,1.1,0.0,2.98,1.0,314,0.9,0.0,2.71,1.0,367,0.8,0.0,1.93,1.0,616,0.5,0.09,1.09,0.0,983,0.6,0.16,1.25,0.0,7997.0,2133.0,16660.0,False,True
MI,"Oct 6 - Oct 16, 2020",6,Statewide,Statewide,9957488,244,4.2,1.71,7.51,0.0,245,3.6,1.24,6.23,0.0,245,2.1,0.34,4.4,0.0,245,2.3,0.39,4.73,0.0,456,3.1,1.56,5.1,0.0,523,3.3,1.59,5.08,0.0,979,3.2,1.96,4.55,0.0,318640.0,195167.0,453066.0,True,False
MN,"Oct 6 - Oct 22, 2020",6,Statewide,Statewide,5527358,97,7.4,2.49,13.35,0.0,358,8.9,5.13,12.5,0.0,287,6.8,3.53,10.93,0.0,242,4.6,1.74,8.33,0.0,419,7.3,4.24,11.22,0.0,565,7.6,5.08,10.42,0.0,984,7.5,5.36,10.01,0.0,414552.0,296266.0,553289.0,True,False
MO,"Oct 7 - Oct 15, 2020",6,Statewide,Statewide,6090062,243,11.7,7.09,16.74,0.0,244,7.2,3.49,11.46,0.0,244,1.7,0.0,4.17,1.0,245,3.2,1.18,5.43,0.0,428,5.6,2.88,8.57,0.0,548,7.3,4.36,10.47,0.0,976,6.5,4.37,8.64,0.0,395854.0,266136.0,526181.0,True,True
MS,"Oct 5 - Oct 20, 2020",6,Statewide,Statewide,2988762,47,777.0,,,,307,17.2,12.11,23.17,0.0,309,8.4,5.19,12.3,0.0,309,5.4,2.57,8.99,0.0,391,10.9,5.75,16.91,0.0,581,15.2,9.91,20.91,0.0,972,13.1,9.4,17.24,0.0,391528.0,280944.0,515263.0,True,False
MT,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,1041732,26,777.0,,,,207,3.2,0.92,6.02,0.0,180,3.4,1.16,6.44,0.0,175,2.7,0.4,5.85,0.0,240,3.4,0.85,7.22,0.0,348,3.0,1.16,5.08,0.0,588,3.2,1.57,5.01,0.0,33335.0,16355.0,52191.0,True,False
NC,"Oct 6 - Oct 19, 2020",6,Statewide,Statewide,10155624,249,2.9,0.81,5.22,0.0,248,3.5,0.94,6.36,0.0,249,3.1,1.07,5.74,0.0,249,4.6,2.04,7.66,0.0,428,4.1,1.75,6.69,0.0,567,2.8,1.43,4.47,0.0,995,3.5,2.05,5.04,0.0,355447.0,208190.0,511843.0,True,False
ND,"Oct 6 - Oct 16, 2020",6,Statewide,Statewide,752201,4,777.0,,,,22,777.0,,,,18,777.0,,,,11,777.0,,,,26,777.0,,,,29,777.0,,,,55,777.0,,,,,,,False,
NE,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,1904760,109,13.3,6.34,22.75,0.0,316,13.0,9.0,17.95,0.0,307,11.6,7.68,16.15,0.0,234,2.6,0.93,4.86,0.0,467,11.6,7.66,16.05,0.0,499,10.9,7.53,14.31,0.0,966,11.3,8.6,14.13,0.0,215238.0,163809.0,269143.0,True,False
NH,"Oct 9 - Oct 15, 2020",6,Statewide,Statewide,1343622,38,777.0,,,,270,0.5,0.0,1.77,1.0,291,2.2,0.67,4.17,0.0,381,0.6,0.0,1.94,1.0,396,0.7,0.03,1.63,0.0,584,0.9,0.28,1.7,0.0,980,0.8,0.31,1.42,0.0,10749.0,4165.0,19079.0,False,True
NJ,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,8881845,145,12.4,6.88,18.63,0.0,250,15.0,10.92,19.88,0.0,241,12.0,7.88,16.13,0.0,253,6.3,3.47,9.53,0.0,428,13.3,9.65,16.96,0.0,461,11.6,8.41,14.91,0.0,889,12.4,10.02,15.17,0.0,1101349.0,889961.0,1347376.0,True,False
NM,"Oct 6 - Oct 20, 2020",6,Statewide,Statewide,2092434,197,4.0,1.51,7.28,0.0,260,6.8,3.5,10.91,0.0,260,3.9,1.4,7.02,0.0,259,1.9,0.41,3.98,1.0,383,3.9,1.56,6.47,0.0,593,5.6,3.3,7.97,0.0,976,4.8,3.26,6.62,0.0,100437.0,68213.0,138519.0,True,True
NV,"Oct 6 - Oct 16, 2020",6,Statewide,Statewide,2922849,245,10.6,6.89,15.0,0.0,246,9.2,5.49,13.29,0.0,245,3.4,1.25,5.87,0.0,245,7.6,4.04,11.43,0.0,370,8.3,5.43,11.49,0.0,611,8.0,5.69,10.77,0.0,981,8.2,6.4,10.06,0.0,239674.0,187062.0,294039.0,True,False
NY,"Oct 9 - Oct 21, 2020",6,Statewide,Statewide,19618453,221,20.8,14.84,26.67,0.0,210,28.3,22.69,34.86,0.0,162,18.0,11.52,24.91,0.0,227,11.0,7.07,15.43,0.0,347,22.5,17.37,28.05,0.0,473,21.4,17.28,25.44,0.0,820,21.9,18.72,25.25,0.0,4296441.0,3672574.0,4953659.0,True,False
OH,"Oct 6 - Oct 22, 2020",6,Statewide,Statewide,11641879,121,2.4,0.0,5.83,1.0,284,1.2,0.0,2.87,1.0,273,1.9,0.37,4.03,0.0,302,2.1,0.49,4.08,0.0,467,1.8,0.63,3.32,0.0,513,1.7,0.49,3.19,0.0,980,1.8,0.94,2.75,0.0,209554.0,109434.0,320152.0,True,True
OK,"Oct 7 - Oct 14, 2020",6,Statewide,Statewide,3918137,245,5.3,2.46,8.9,0.0,244,10.9,5.85,15.84,0.0,245,4.3,1.72,7.1,0.0,246,5.0,2.09,8.06,0.0,408,8.2,4.79,11.83,0.0,572,6.6,3.92,9.47,0.0,980,7.4,5.08,9.71,0.0,289942.0,199041.0,380451.0,True,False
OR,"Oct 7 - Oct 19, 2020",6,Statewide,Statewide,4081943,46,777.0,,,,251,2.6,0.82,4.68,0.0,337,1.9,0.68,3.48,0.0,338,0.7,0.0,1.73,1.0,426,2.0,0.32,4.92,1.0,546,2.1,0.81,3.75,0.0,972,2.1,0.87,3.59,0.0,85721.0,35513.0,146542.0,True,True
PA,"Oct 8 - Oct 21, 2020",6,Statewide,Statewide,12791181,54,777.0,,,,527,14.0,11.05,17.1,0.0,231,13.7,9.06,19.05,0.0,134,1.1,0.0,2.61,1.0,703,14.9,12.14,18.13,0.0,243,6.1,2.77,10.64,0.0,946,10.5,8.39,13.16,0.0,1343074.0,1073180.0,1683319.0,True,True
PR,"Oct 5 - Oct 13, 2020",6,Statewide,Statewide,3386941,245,1.1,0.0,2.66,1.0,245,3.2,0.82,5.95,0.0,245,4.5,1.85,7.7,0.0,245,2.2,0.64,4.59,0.0,387,2.9,1.09,5.08,0.0,593,2.8,1.42,4.34,0.0,980,2.8,1.64,4.38,0.0,94834.0,55546.0,148348.0,True,True
RI,"Oct 9 - Oct 22, 2020",6,Statewide,Statewide,1056611,26,777.0,,,,309,3.0,1.03,5.21,0.0,217,5.1,2.19,8.49,0.0,208,0.4,0.0,1.49,1.0,338,2.7,1.15,4.42,0.0,422,2.2,0.94,3.69,0.0,760,2.4,1.43,3.54,0.0,25359.0,15110.0,37404.0,False,True
SC,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,4955925,82,9.1,2.97,16.49,0.0,247,9.8,6.21,13.94,0.0,344,7.3,4.43,10.52,0.0,358,2.9,1.35,4.88,0.0,432,4.9,2.28,8.3,0.0,599,10.9,7.23,14.79,0.0,1031,8.0,5.78,10.49,0.0,396474.0,286452.0,519877.0,True,False
SD,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,864289,3,777.0,,,,19,777.0,,,,5,777.0,,,,7,777.0,,,,21,777.0,,,,13,777.0,,,,34,777.0,,,,,,,False,
TN,"Oct 7 - Oct 15, 2020",6,Statewide,Statewide,6651089,243,11.0,6.21,15.8,0.0,252,12.5,8.28,16.89,0.0,250,7.4,3.91,11.17,0.0,250,4.4,1.66,7.48,0.0,425,9.4,5.82,13.2,0.0,570,10.3,7.35,13.55,0.0,995,9.9,7.49,12.26,0.0,658458.0,498167.0,815424.0,True,False
TX,"Oct 5 - Oct 19, 2020",6,Statewide,Statewide,27885195,246,13.8,9.71,18.65,0.0,250,9.1,5.53,13.49,0.0,247,12.2,7.55,17.99,0.0,249,5.1,2.48,8.23,0.0,453,10.9,7.47,15.22,0.0,539,9.9,7.05,13.01,0.0,992,10.4,8.15,12.98,0.0,2900060.0,2272643.0,3619498.0,True,False
UT,"Oct 5 - Oct 21, 2020",6,Statewide,Statewide,3045350,80,11.5,4.43,19.15,0.0,333,8.9,5.91,12.22,0.0,321,8.0,4.94,11.2,0.0,244,4.2,1.53,7.5,0.0,427,8.6,4.8,12.85,0.0,551,9.5,6.03,13.27,0.0,978,9.1,6.3,11.99,0.0,277127.0,191857.0,365137.0,True,False
VA,"Oct 9 - Oct 21, 2020",6,Statewide,Statewide,8413774,19,777.0,,,,260,6.5,2.95,10.73,0.0,253,4.7,1.45,8.39,0.0,332,2.4,0.52,4.7,0.0,304,4.7,1.84,8.39,0.0,560,3.6,1.9,5.35,0.0,864,4.1,2.41,6.2,0.0,344965.0,202772.0,521654.0,False,False
VT,"Oct 9 - Oct 22, 2020",6,Statewide,Statewide,624977,16,777.0,,,,209,0.0,0.0,1.75,2.0,137,0.0,0.0,2.66,2.0,110,2.5,0.0,6.74,1.0,164,0.9,0.0,2.48,1.0,308,0.0,0.0,1.19,2.0,472,0.4,0.0,1.22,1.0,2500.0,0.0,7625.0,False,True
WA,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,7294336,136,5.0,0.87,10.05,0.0,241,0.5,0.0,1.82,1.0,353,1.1,0.22,2.52,1.0,244,2.9,0.8,5.44,0.0,449,1.4,0.39,2.85,0.0,525,2.6,0.88,4.93,0.0,974,2.0,0.91,3.21,0.0,145887.0,66378.0,234148.0,True,True
WI,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,5778394,58,777.0,,,,299,6.3,3.7,9.87,0.0,281,6.6,3.47,9.88,0.0,335,2.5,0.45,4.85,0.0,472,5.9,3.51,8.66,0.0,501,4.1,1.93,6.68,0.0,973,5.0,3.41,6.98,0.0,288920.0,197043.0,403332.0,True,False
WV,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,1829054,39,777.0,,,,414,3.9,1.85,6.38,0.0,334,2.1,0.38,4.29,0.0,337,1.2,0.0,3.21,1.0,448,2.5,0.91,4.32,0.0,675,2.0,0.91,3.22,0.0,1124,2.2,1.29,3.3,0.0,40239.0,23595.0,60359.0,False,True
WY,"Oct 8 - Oct 21, 2020",6,Statewide,Statewide,581836,5,777.0,,,,48,777.0,,,,48,777.0,,,,22,777.0,,,,60,777.0,,,,63,777.0,,,,123,2.6,0.46,5.78,1.0,15128.0,2676.0,33630.0,False,True
US,"Oct 5 - Oct 22, 2020",6,"50 States, DC, & PR","50 States, DC, & PR",326289971,6487,8.2,7.32,9.07,0.0,14577,8.7,8.09,9.34,0.0,12529,6.3,5.62,7.0,0.0,12686,3.9,3.39,4.45,0.0,19580,7.2,6.68,7.7,0.0,26698,7.2,6.73,7.72,0.0,46279,7.2,6.83,7.58,0.0,23492878.0,22285605.0,24732780.0,True,False
AK,"Oct 30 - Nov 13, 2020",7,Statewide,Statewide,738516,27,777.0,,,,618,6.0,4.04,8.39,0.0,421,6.2,3.59,9.42,0.0,347,1.7,0.57,3.28,0.0,595,8.9,3.82,16.95,0.0,818,3.5,2.2,5.17,0.0,1413,6.3,3.68,10.57,0.0,46527.0,27177.0,78061.0,True,False
AL,"Oct 26 -  Nov 9, 2020",7,Statewide,Statewide,4864680,415,11.2,8.23,14.54,0.0,338,10.5,6.9,13.9,0.0,409,7.7,4.99,10.26,0.0,376,4.7,2.54,6.76,0.0,629,7.8,5.45,10.35,0.0,907,10.4,8.24,12.71,0.0,1538,9.2,7.57,10.99,0.0,447551.0,368256.0,534628.0,True,False
AR,"Oct 26 -  Nov 6, 2020",7,Statewide,Statewide,2990671,193,9.0,4.91,13.52,0.0,583,7.4,5.45,9.74,0.0,323,5.1,2.64,7.71,0.0,401,2.2,0.7,3.81,0.0,622,6.4,4.34,8.61,0.0,877,6.7,4.89,8.9,0.0,1500,6.5,5.15,7.98,0.0,194394.0,154020.0,238656.0,True,False
AZ,"Oct 26 - Nov 10, 2020",7,Statewide,Statewide,6946685,382,11.7,8.55,15.23,0.0,455,11.1,8.1,14.27,0.0,448,7.2,4.8,9.68,0.0,515,5.4,3.27,7.5,0.0,721,10.6,8.05,13.15,0.0,1078,8.6,6.45,10.56,0.0,1800,9.6,8.08,11.12,0.0,666882.0,561292.0,772471.0,True,False
CA,"Oct 26 - Nov 12, 2020",7,Statewide,Statewide,39148760,321,8.3,5.06,11.67,0.0,340,7.4,4.73,10.43,0.0,329,6.2,3.59,9.09,0.0,325,1.4,0.23,2.93,0.0,505,6.0,3.76,8.74,0.0,807,7.1,4.95,9.36,0.0,1315,6.6,5.09,8.12,0.0,2583818.0,1992672.0,3178879.0,True,False
CO,"Oct 30 - Nov 13, 2020",7,Statewide,Statewide,5531141,324,8.3,4.15,14.34,0.0,329,4.8,2.33,7.76,0.0,329,3.8,1.51,6.16,0.0,311,2.0,0.42,3.89,0.0,574,6.1,3.57,9.04,0.0,719,4.0,2.24,5.74,0.0,1293,5.0,3.35,6.8,0.0,276557.0,185293.0,376118.0,True,False
CT,"Nov 2 - Nov 14, 2020",7,Statewide,Statewide,3581504,305,3.5,1.46,6.01,0.0,236,3.2,0.93,6.06,0.0,221,4.4,1.46,7.72,0.0,247,2.8,0.84,5.45,0.0,412,5.7,3.19,8.84,0.0,597,1.3,0.35,2.59,0.0,1009,3.5,2.09,4.99,0.0,125353.0,74853.0,178717.0,True,False
DC,"Oct 27 - Nov 11, 2020",7,Statewide,Statewide,684498,161,15.8,10.34,22.67,0.0,365,7.0,4.2,9.69,0.0,327,7.9,5.17,11.23,0.0,322,8.1,5.14,11.61,0.0,444,8.7,6.1,11.71,0.0,730,9.0,6.51,11.36,0.0,1175,8.8,6.97,10.67,0.0,60236.0,47710.0,73036.0,True,False
DE,"Oct 26 -  Nov 9, 2020",7,Statewide,Statewide,949495,61,777.0,,,,454,9.1,6.37,12.3,0.0,234,5.5,2.51,8.79,0.0,200,2.9,0.67,5.3,0.0,349,13.4,8.63,19.12,0.0,600,7.5,4.74,10.84,0.0,949,10.4,7.72,13.62,0.0,98747.0,73301.0,129321.0,True,False
FL,"Oct 27 -  Nov 4, 2020",7,Statewide,Statewide,20598139,360,8.3,5.22,11.5,0.0,333,9.2,6.19,12.38,0.0,330,6.4,4.01,9.55,0.0,337,4.7,2.44,7.18,0.0,555,7.6,5.16,10.31,0.0,804,7.6,5.82,9.49,0.0,1360,7.6,6.02,9.11,0.0,1565459.0,1240008.0,1876490.0,True,False
GA,"Oct 27 - Nov 13, 2020",7,Statewide,Statewide,10297484,327,11.9,8.29,15.78,0.0,337,15.9,11.31,20.99,0.0,324,10.0,6.34,13.49,0.0,342,5.0,2.66,7.61,0.0,572,10.5,7.39,13.89,0.0,758,14.2,10.86,17.84,0.0,1330,12.4,10.01,14.88,0.0,1276888.0,1030778.0,1532266.0,True,False
HI,"Oct 29 - Nov 15, 2020",7,Statewide,Statewide,1422029,28,777.0,,,,264,5.6,2.82,8.81,0.0,359,1.6,0.42,3.16,0.0,413,1.5,0.33,3.13,0.0,376,3.7,1.43,6.47,0.0,688,2.1,0.89,3.6,0.0,1064,2.9,1.66,4.68,0.0,41239.0,23606.0,66551.0,False,False
IA,"Oct 28 - Nov 13, 2020",7,Statewide,Statewide,3132499,69,777.0,,,,546,12.8,9.98,16.05,0.0,326,8.9,5.95,12.08,0.0,252,4.2,1.56,6.82,0.0,554,11.4,7.81,15.69,0.0,639,12.4,9.04,16.46,0.0,1193,11.9,9.37,14.58,0.0,372767.0,293515.0,456718.0,True,False
ID,"Oct 30 - Nov 13, 2020",7,Statewide,Statewide,1687809,40,777.0,,,,492,7.3,4.62,10.45,0.0,344,6.3,3.67,9.2,0.0,426,5.4,2.79,8.55,0.0,490,4.5,2.64,6.69,0.0,812,8.2,4.64,12.61,0.0,1302,6.3,4.19,8.96,0.0,106332.0,70719.0,151228.0,True,False
IL,"Oct 26 -  Nov 7, 2020",7,Statewide,Statewide,12821497,327,17.1,12.48,21.52,0.0,395,14.2,10.57,17.89,0.0,476,11.8,8.67,14.91,0.0,359,4.0,2.22,6.1,0.0,613,13.4,10.53,16.6,0.0,944,12.4,9.81,14.87,0.0,1557,12.9,10.87,14.94,0.0,1653973.0,1393697.0,1915532.0,True,False
IN,"Oct 29 - Nov 11, 2020",7,Statewide,Statewide,6637426,18,777.0,,,,677,8.2,5.71,10.9,0.0,249,5.1,1.49,10.25,0.0,278,3.1,0.54,7.29,1.0,273,4.3,1.64,7.98,0.0,949,8.2,5.33,10.69,0.0,1222,6.3,4.25,8.59,0.0,418158.0,282091.0,570155.0,True,True
KS,"Nov 1 - Nov 15, 2020",7,Statewide,Statewide,2908776,317,6.9,3.81,10.36,0.0,333,4.6,2.37,7.1,0.0,337,6.7,3.8,9.91,0.0,330,4.2,1.91,7.09,0.0,545,4.7,2.56,6.57,0.0,772,6.3,4.39,8.39,0.0,1317,5.5,4.17,7.06,0.0,159983.0,121296.0,205360.0,True,False
KY,"Oct 26 - Nov 10, 2020",7,Statewide,Statewide,4440204,162,9.9,5.04,15.69,0.0,427,9.6,6.7,12.88,0.0,545,4.1,2.35,6.08,0.0,454,2.9,1.1,4.88,0.0,675,8.4,5.84,11.37,0.0,912,6.6,4.68,8.88,0.0,1588,7.5,5.88,9.43,0.0,333015.0,261084.0,418711.0,True,False
LA,"Oct 28 - Nov 14, 2020",7,Statewide,Statewide,4663616,327,11.7,6.83,16.69,0.0,333,10.3,6.55,14.5,0.0,329,8.2,4.63,12.01,0.0,327,6.6,3.85,9.4,0.0,564,10.0,6.49,14.04,0.0,752,9.4,7.16,11.64,0.0,1316,9.7,7.49,11.78,0.0,452371.0,349305.0,549374.0,True,False
MA,"Nov 2 - Nov 11, 2020",7,Statewide,Statewide,6830193,118,2.9,0.65,6.23,0.0,325,4.0,1.63,6.44,0.0,337,5.4,2.56,8.41,0.0,335,2.3,0.7,4.4,0.0,432,4.5,2.41,7.14,0.0,683,3.1,1.62,4.67,0.0,1115,3.8,2.48,5.2,0.0,259547.0,169389.0,355170.0,True,False
MD,"Oct 29 - Nov 11, 2020",7,Statewide,Statewide,6003435,74,777.0,,,,423,7.0,4.55,9.47,0.0,395,7.2,4.39,10.07,0.0,420,1.3,0.32,2.65,0.0,478,5.5,2.38,9.06,0.0,834,8.8,6.29,11.53,0.0,1312,7.2,5.3,9.36,0.0,432247.0,318182.0,561922.0,True,False
ME,"Nov 2 - Nov 13, 2020",7,Statewide,Statewide,1332813,27,777.0,,,,401,1.4,0.17,3.13,0.0,279,0.8,0.0,2.1,1.0,288,1.1,0.0,3.19,1.0,361,1.2,0.0,2.73,0.0,634,0.8,0.13,1.63,0.0,995,1.0,0.33,1.79,0.0,13328.0,4398.0,23857.0,False,True
MI,"Oct 26 - Nov 13, 2020",7,Statewide,Statewide,9957488,58,777.0,,,,602,12.2,9.52,14.73,0.0,566,3.9,2.28,5.81,0.0,390,1.8,0.59,3.16,0.0,623,10.3,6.17,14.72,0.0,993,7.0,4.93,9.35,0.0,1616,8.6,6.43,11.05,0.0,856344.0,640266.0,1100302.0,True,False
MN,"Oct 29 - Nov 13, 2020",7,Statewide,Statewide,5527358,122,2.0,0.0,4.75,1.0,407,11.0,8.09,13.92,0.0,348,11.8,7.67,16.15,0.0,426,6.4,3.83,9.42,0.0,557,10.3,7.16,13.14,0.0,746,6.4,4.67,8.53,0.0,1303,8.4,6.79,10.14,0.0,464298.0,375308.0,560474.0,True,True
MO,"Nov 2 - Nov 10, 2020",7,Statewide,Statewide,6090062,72,777.0,,,,392,6.8,3.79,9.87,0.0,745,6.1,3.77,8.56,0.0,298,3.8,1.45,6.78,0.0,615,6.5,3.77,9.74,0.0,892,5.6,3.47,8.16,0.0,1507,6.1,4.32,7.97,0.0,371494.0,263091.0,485378.0,True,False
MS,"Oct 25 -  Nov 9, 2020",7,Statewide,Statewide,2988762,213,12.6,8.24,18.01,0.0,493,12.6,9.64,16.14,0.0,452,10.0,7.06,12.95,0.0,372,5.6,3.47,8.04,0.0,491,10.5,7.51,13.84,0.0,1037,11.5,9.45,13.79,0.0,1530,11.0,9.31,13.11,0.0,328764.0,278254.0,391827.0,True,False
MT,"Oct 30 - Nov 13, 2020",7,Statewide,Statewide,1041732,23,777.0,,,,210,7.0,3.73,11.29,0.0,167,10.7,5.76,16.02,0.0,116,6.0,1.65,11.06,0.0,217,5.1,2.48,7.93,0.0,299,10.4,6.05,16.28,0.0,516,7.7,4.98,11.0,0.0,80213.0,51878.0,114591.0,True,False
NC,"Oct 27 - Nov 10, 2020",7,Statewide,Statewide,10155624,394,8.0,5.31,11.23,0.0,476,9.2,6.26,11.9,0.0,326,7.4,4.1,10.69,0.0,324,2.0,0.35,4.1,0.0,632,8.2,5.93,10.79,0.0,888,6.7,4.73,8.74,0.0,1520,7.5,5.89,8.92,0.0,761672.0,598166.0,905882.0,True,False
ND,"Oct 26 -  Nov 9, 2020",7,Statewide,Statewide,752201,4,777.0,,,,9,777.0,,,,11,777.0,,,,15,777.0,,,,19,777.0,,,,20,777.0,,,,39,777.0,,,,,,,False,
NE,"Oct 30 - Nov 14, 2020",7,Statewide,Statewide,1904760,101,11.8,5.47,19.79,0.0,484,14.2,10.68,18.3,0.0,358,10.1,6.55,13.99,0.0,345,7.9,4.46,11.43,0.0,624,13.1,9.67,16.7,0.0,664,10.7,7.26,14.4,0.0,1288,11.9,9.58,14.2,0.0,226666.0,182476.0,270476.0,True,False
NH,"Nov 2 -  Nov 7, 2020",7,Statewide,Statewide,1343622,52,777.0,,,,434,0.1,0.0,0.47,1.0,322,1.2,0.19,2.49,0.0,491,1.2,0.37,2.19,0.0,533,0.4,0.0,0.97,0.0,766,1.7,0.42,3.45,0.0,1299,1.1,0.38,1.97,0.0,14780.0,5106.0,26469.0,True,True
NJ,"Oct 29 - Nov 11, 2020",7,Statewide,Statewide,8881845,234,14.1,9.33,19.45,0.0,332,15.5,11.75,19.39,0.0,335,6.9,4.24,9.89,0.0,335,5.7,3.44,8.67,0.0,511,10.6,7.52,13.74,0.0,725,13.1,10.45,16.11,0.0,1236,11.9,10.04,13.87,0.0,1056940.0,891737.0,1231912.0,True,False
NM,"Oct 30 - Nov 15, 2020",7,Statewide,Statewide,2092434,226,9.2,5.12,13.99,0.0,384,9.3,5.81,12.98,0.0,367,5.2,2.7,7.98,0.0,360,3.1,1.17,5.89,0.0,543,6.5,4.23,9.16,0.0,794,8.4,5.85,11.28,0.0,1337,7.5,5.68,9.39,0.0,156933.0,118850.0,196480.0,True,False
NV,"Oct 25 -  Nov 9, 2020",7,Statewide,Statewide,2922849,151,12.1,6.76,18.61,0.0,396,8.4,5.72,11.58,0.0,425,7.7,4.97,11.05,0.0,374,4.0,1.93,6.11,0.0,505,9.2,6.21,12.5,0.0,840,7.8,5.64,9.95,0.0,1346,8.5,6.56,10.51,0.0,248442.0,191739.0,307191.0,True,False
