Jurisdiction,Sub-Jurisdiction,Topical Area,Supplemental Act Name,Award Name,Amount
Massachusetts,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,5060221
Oregon,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,8109807
Vermont,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,262328
Texas,Houston,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,20965609
Tribal Awards,Arizona Health Care Cost Containment System,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),2000000
Marshall Islands,,Epi and Lab Capacity,American Rescue Plan Act of 2021,Public Health Laboratory Preparedness,25000
Nevada,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,0
West Virginia,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
North Carolina,Cabarrus County,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),703447
Puerto Rico,,Vaccine Preparedness,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",COVID-19 Vaccine Preparedness/2,28857749
South Carolina,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,0
North Dakota,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,344088
Indiana,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,4598546
New York,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,8161503
Kentucky,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,7464395
Mississippi,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,2535036
Maryland,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,438379
Ohio,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,6332109
Texas,El Paso,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",7728202
Mississippi,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,6381369
Idaho,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,102860572
Delaware,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,387695
Palau,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,255826
Northern Marianas,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,449760
Michigan,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,1360000
Maine,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,986871
South Dakota,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,4567500
South Carolina,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,9917925
Alaska,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,537073
Virgin Islands,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,6112700
Delaware,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,1434966
Nebraska,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,5517520
Alabama,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",40452096
Pennsylvania,Philadelphia,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,47711231
Palau,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,50000
Minnesota,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,2392636
Nevada,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,7258599
Colorado,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
California,Fresno County,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",7897935
Kansas,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,7514435
District of Columbia,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Florida,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,2304979
South Carolina,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,5914501
California,Los Angeles County,Vaccine Preparedness,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",COVID-19 Vaccine Preparedness/2,0
West Virginia,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,57211926
Texas,Houston,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,1465367
Alaska,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
Wisconsin,,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),3000000
Arizona,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,500000
Iowa,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,1060853
Vermont,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,2076782
Georgia,,Epi and Lab Capacity,American Rescue Plan Act of 2021,Public Health Laboratory Preparedness,142473
California,Los Angeles County,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,460837
Arkansas,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,300000
New York,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,2968416
Utah,,Epi and Lab Capacity,American Rescue Plan Act of 2021,Public Health Laboratory Preparedness,142473
Pennsylvania,Philadelphia,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,998340
Louisiana,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,2937023
Georgia,,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),3000000
Marshall Islands,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Marshall Islands,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,408616
Alabama,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,0
Missouri,,Epi and Lab Capacity,American Rescue Plan Act of 2021,Public Health Laboratory Preparedness,142473
Pennsylvania,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,645685624
Wisconsin,,Epi and Lab Capacity,American Rescue Plan Act of 2021,Public Health Laboratory Preparedness,285046
Alabama,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,14443030
Vermont,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,56693
American Samoa,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,411385
Montana,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,7250870
Palau,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,673587
Tennessee,,Epi and Lab Capacity,American Rescue Plan Act of 2021,Public Health Laboratory Preparedness,284946
Illinois,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,6216228
Connecticut,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,7058271
Arizona,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",34603661
Alaska,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,42106547
Micronesia,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,150000
Florida,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,225017
Colorado,El Paso County,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",2196235
Colorado,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,4227851
Wyoming,,Epi and Lab Capacity,American Rescue Plan Act of 2021,Public Health Laboratory Preparedness,142473
Guam,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,700000
Idaho,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Texas,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,15555044
California,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,887715802
Kansas,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,5940546
North Carolina,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,15356128
Oregon,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,3217140
Minnesota,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,3998300
North Carolina,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,1343000
Wyoming,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,50390551
Tennessee,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,2690000
New Mexico,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,350000
Nebraska,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,0
Hawaii,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,558492
New York,New York City,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,4497600
Rhode Island,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,3031306
Missouri,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,16107120
Maine,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",32140247
Connecticut,,Epi and Lab Capacity,American Rescue Plan Act of 2021,Public Health Laboratory Preparedness,142473
Florida,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,8792153
Pennsylvania,Philadelphia,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,440909
Micronesia,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,490000
South Dakota,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,5000000
Maryland,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,205723600
Kentucky,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,12691235
District of Columbia,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,3298206
Virgin Islands,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,140000
Wisconsin,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,1496000
North Carolina,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,188951581
Illinois,Chicago,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,1683500
Oregon,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,25667917
Oregon,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,4868623
West Virginia,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Illinois,Chicago,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,9715194
Wisconsin,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,735832
American Samoa,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,740494
Montana,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,4567500
Louisiana,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,140019396
California,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,41896344
New Jersey,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,2842000
Rhode Island,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,500000
Maryland,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,1439232
Connecticut,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,1696075
New Hampshire,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,449760
Virginia,Virginia Beach,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",3350369
West Virginia,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,857000
New Hampshire,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,576526
Arkansas,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",40411710
Connecticut,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,3210954
Iowa,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,5955008
South Carolina,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,1656384
Maine,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,3295196
Pennsylvania,Philadelphia,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,326634
Texas,Tarrant County,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",27241785
Guam,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,210000
Delaware,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,161170
Texas,Houston,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,3290000
North Carolina,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,20230000
Puerto Rico,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,6522620
Washington,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,12756443
South Dakota,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",37422829
Guam,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,449760
Massachusetts,Boston,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),2971930
Georgia,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",Emerging Infections Program Award,560000
Alaska,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,2085935
Mississippi,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,89640149
Minnesota,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,0
Nevada,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,30206205
California,Los Angeles County,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,302372981
Massachusetts,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,2968416
Colorado,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,1415012
Arkansas,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
New York,New York City,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,4611066
Alabama,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,115136474
Pennsylvania,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,18782276
Ohio,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",31011053
Alaska,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
South Carolina,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,10920000
Maryland,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,2819206
Rhode Island,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,449760
Ohio,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,0
Georgia,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,26385500
Vermont,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,854000
Massachusetts,,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),3000000
California,Riverside County,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",23420926
Wisconsin,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,4098728
North Carolina,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
West Virginia,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,19992814
Pennsylvania,Philadelphia,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,91176162
California,Los Angeles County,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,1866315
Alabama,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,1761951
New Jersey,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,9940000
South Dakota,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
Georgia,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,6630060
New York,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,18653245
Marshall Islands,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
Wyoming,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,50000
Michigan,Detroit,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",8727488
Texas,San Antonio,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,0
Connecticut,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,6672473
Massachusetts,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,1753500
Palau,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,887347
Florida,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,646898907
Indiana,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,2317387
Louisiana,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,267577065
Illinois,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,611081
Delaware,,Epi and Lab Capacity,American Rescue Plan Act of 2021,Public Health Laboratory Preparedness,142473
Oregon,Lane County,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),877731
Vermont,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,18873159
California,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",Emerging Infections Program Award,560000
Delaware,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
Arizona,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,123050
Colorado,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,4063734
Colorado,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,6010472
Alabama,,Epi and Lab Capacity,American Rescue Plan Act of 2021,Public Health Laboratory Preparedness,142473
Connecticut,,All Other,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",All Other STLT Awards,629640
Arkansas,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,449760
Micronesia,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,840805
Maryland,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,10220000
West Virginia,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,3230602
Arkansas,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,3828419
Northern Marianas,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,10000
North Dakota,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,2486637
District of Columbia,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,21256814
Tribal Awards,,Tribal Awards,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",Tribal Awards,8315973
Palau,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,1249017
South Dakota,,Epi and Lab Capacity,American Rescue Plan Act of 2021,Public Health Laboratory Preparedness,142473
Idaho,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,5075000
Colorado,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,159509879
District of Columbia,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,40621771
American Samoa,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Maryland,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,10005165
California,San Francisco,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,11231795
Guam,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,230852
North Dakota,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",31278243
Tennessee,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,19160915
Pennsylvania,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,301036686
