Vaccine,Geography Type,Geography,Survey Year/Influenza Season,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Seasonal Influenza,States,Ohio,2014-15,Race/Ethnicity,"White, Non-Hispanic",53.9,48.9 to 58.8,732.0
Seasonal Influenza,States,Oklahoma,2014-15,Race/Ethnicity,"White, Non-Hispanic",53.7,47.7 to 59.5,797.0
Seasonal Influenza,States,Oregon,2014-15,Race/Ethnicity,"White, Non-Hispanic",57.0,48.3 to 65.4,131.0
Seasonal Influenza,States,Pennsylvania,2014-15,Race/Ethnicity,"White, Non-Hispanic",55.9,51.1 to 60.6,536.0
Seasonal Influenza,States,Rhode Island,2014-15,Race/Ethnicity,"White, Non-Hispanic",70.0,62.9 to 76.3,212.0
Seasonal Influenza,States,Tennessee,2014-15,Race/Ethnicity,"White, Non-Hispanic",56.1,50.3 to 61.8,512.0
Seasonal Influenza,States,Texas,2014-15,Race/Ethnicity,"White, Non-Hispanic",59.1,50.9 to 66.8,172.0
Seasonal Influenza,National,U.S. Median,2014-15,Race/Ethnicity,"White, Non-Hispanic",60.0,,341.0
Seasonal Influenza,States,Utah,2014-15,Race/Ethnicity,"White, Non-Hispanic",65.4,61.1 to 69.4,688.0
Seasonal Influenza,States,Vermont,2014-15,Race/Ethnicity,"White, Non-Hispanic",†,†,
Seasonal Influenza,States,Virginia,2014-15,Race/Ethnicity,"White, Non-Hispanic",66.1,56.0 to 74.9,147.0
Seasonal Influenza,States,Washington,2014-15,Race/Ethnicity,"White, Non-Hispanic",60.0,54.3 to 65.5,313.0
Seasonal Influenza,States,West Virginia,2014-15,Race/Ethnicity,"White, Non-Hispanic",57.3,52.7 to 61.7,802.0
Seasonal Influenza,States,Wisconsin,2014-15,Race/Ethnicity,"White, Non-Hispanic",62.5,56.0 to 68.6,241.0
Seasonal Influenza,States,Wyoming,2014-15,Race/Ethnicity,"White, Non-Hispanic",51.2,44.7 to 57.6,286.0
Seasonal Influenza,States,Alabama,2015-16,Race/Ethnicity,"White, Non-Hispanic",50.6,42.8 to 58.3,158.0
Seasonal Influenza,States,Alaska,2015-16,Race/Ethnicity,"White, Non-Hispanic",51.3,45.1 to 57.4,326.0
Seasonal Influenza,States,Arkansas,2015-16,Race/Ethnicity,"White, Non-Hispanic",68.3,61.8 to 74.1,371.0
Seasonal Influenza,States,Colorado,2015-16,Race/Ethnicity,"White, Non-Hispanic",67.1,62.5 to 71.4,783.0
Seasonal Influenza,States,Connecticut,2015-16,Race/Ethnicity,"White, Non-Hispanic",66.2,54.0 to 76.5,65.0
Seasonal Influenza,States,Delaware,2015-16,Race/Ethnicity,"White, Non-Hispanic",61.3,56.2 to 66.2,378.0
Seasonal Influenza,States,Hawaii,2015-16,Race/Ethnicity,"White, Non-Hispanic",40.2,26.8 to 55.1,81.0
Seasonal Influenza,States,Illinois,2015-16,Race/Ethnicity,"White, Non-Hispanic",61.3,56.9 to 65.4,579.0
Seasonal Influenza,States,Iowa,2015-16,Race/Ethnicity,"White, Non-Hispanic",71.1,65.0 to 76.5,247.0
Seasonal Influenza,States,Louisiana,2015-16,Race/Ethnicity,"White, Non-Hispanic",54.0,47.9 to 59.9,333.0
Seasonal Influenza,States,Maine,2015-16,Race/Ethnicity,"White, Non-Hispanic",66.2,61.3 to 70.7,565.0
Seasonal Influenza,States,Maryland,2015-16,Race/Ethnicity,"White, Non-Hispanic",71.9,66.7 to 76.6,400.0
Seasonal Influenza,States,Massachusetts,2015-16,Race/Ethnicity,"White, Non-Hispanic",72.0,66.1 to 77.2,263.0
Seasonal Influenza,States,Michigan,2015-16,Race/Ethnicity,"White, Non-Hispanic",60.2,55.5 to 64.7,546.0
Seasonal Influenza,States,Missouri,2015-16,Race/Ethnicity,"White, Non-Hispanic",61.2,56.6 to 65.6,590.0
Seasonal Influenza,States,Nebraska,2015-16,Race/Ethnicity,"White, Non-Hispanic",73.8,66.7 to 79.9,170.0
Seasonal Influenza,States,New Hampshire,2015-16,Race/Ethnicity,"White, Non-Hispanic",70.9,64.9 to 76.2,367.0
Seasonal Influenza,States,New Jersey,2015-16,Race/Ethnicity,"White, Non-Hispanic",56.2,50.4 to 61.8,335.0
Seasonal Influenza,States,New Mexico,2015-16,Race/Ethnicity,"White, Non-Hispanic",63.4,57.6 to 68.7,297.0
Seasonal Influenza,States,New York,2015-16,Race/Ethnicity,"White, Non-Hispanic",59.0,54.7 to 63.1,782.0
Seasonal Influenza,States,Ohio,2015-16,Race/Ethnicity,"White, Non-Hispanic",53.0,45.0 to 60.8,314.0
Seasonal Influenza,States,Oklahoma,2015-16,Race/Ethnicity,"White, Non-Hispanic",57.8,51.9 to 63.4,526.0
Seasonal Influenza,States,Oregon,2015-16,Race/Ethnicity,"White, Non-Hispanic",67.8,58.6 to 75.8,114.0
Seasonal Influenza,States,Pennsylvania,2015-16,Race/Ethnicity,"White, Non-Hispanic",57.4,52.5 to 62.2,520.0
Seasonal Influenza,States,Rhode Island,2015-16,Race/Ethnicity,"White, Non-Hispanic",80.3,74.6 to 85.0,259.0
Seasonal Influenza,States,Tennessee,2015-16,Race/Ethnicity,"White, Non-Hispanic",48.4,39.0 to 58.0,171.0
Seasonal Influenza,States,Texas,2015-16,Race/Ethnicity,"White, Non-Hispanic",59.1,53.1 to 64.8,358.0
Seasonal Influenza,National,U.S. Median,2015-16,Race/Ethnicity,"White, Non-Hispanic",61.4,,347.0
Seasonal Influenza,States,Utah,2015-16,Race/Ethnicity,"White, Non-Hispanic",61.6,57.1 to 65.9,694.0
Seasonal Influenza,States,Vermont,2015-16,Race/Ethnicity,"White, Non-Hispanic",†,†,
Seasonal Influenza,States,Virginia,2015-16,Race/Ethnicity,"White, Non-Hispanic",59.8,49.0 to 69.7,127.0
Seasonal Influenza,States,Washington,2015-16,Race/Ethnicity,"White, Non-Hispanic",66.7,60.8 to 72.1,276.0
Seasonal Influenza,States,West Virginia,2015-16,Race/Ethnicity,"White, Non-Hispanic",57.0,52.1 to 61.7,646.0
Seasonal Influenza,States,Wisconsin,2015-16,Race/Ethnicity,"White, Non-Hispanic",68.5,62.0 to 74.3,243.0
Seasonal Influenza,States,Wyoming,2015-16,Race/Ethnicity,"White, Non-Hispanic",54.3,48.1 to 60.4,316.0
Seasonal Influenza,States,Alabama,2016-17,Race/Ethnicity,"White, Non-Hispanic",63.0,55.5 to 69.9,173.0
Seasonal Influenza,States,Alaska,2016-17,Race/Ethnicity,"White, Non-Hispanic",57.2,50.7 to 63.4,325.0
Seasonal Influenza,States,Arkansas,2016-17,Race/Ethnicity,"White, Non-Hispanic",51.7,41.2 to 62.1,168.0
Seasonal Influenza,States,Colorado,2016-17,Race/Ethnicity,"White, Non-Hispanic",68.9,64.5 to 73.0,643.0
Seasonal Influenza,States,Connecticut,2016-17,Race/Ethnicity,"White, Non-Hispanic",76.3,70.0 to 81.7,201.0
Seasonal Influenza,States,Delaware,2016-17,Race/Ethnicity,"White, Non-Hispanic",62.9,57.2 to 68.3,302.0
Seasonal Influenza,States,Georgia,2016-17,Race/Ethnicity,"White, Non-Hispanic",48.4,37.7 to 59.3,150.0
Seasonal Influenza,States,Illinois,2016-17,Race/Ethnicity,"White, Non-Hispanic",62.5,57.7 to 67.0,495.0
Seasonal Influenza,States,Iowa,2016-17,Race/Ethnicity,"White, Non-Hispanic",72.9,66.7 to 78.3,237.0
Seasonal Influenza,States,Kansas,2016-17,Race/Ethnicity,"White, Non-Hispanic",68.4,61.4 to 74.7,306.0
Seasonal Influenza,States,Kentucky,2016-17,Race/Ethnicity,"White, Non-Hispanic",58.1,49.6 to 66.1,138.0
Seasonal Influenza,States,Louisiana,2016-17,Race/Ethnicity,"White, Non-Hispanic",49.6,43.2 to 56.0,236.0
Seasonal Influenza,States,Maine,2016-17,Race/Ethnicity,"White, Non-Hispanic",64.1,59.1 to 68.8,583.0
Seasonal Influenza,States,Maryland,2016-17,Race/Ethnicity,"White, Non-Hispanic",68.5,62.6 to 73.9,335.0
Seasonal Influenza,States,Massachusetts,2016-17,Race/Ethnicity,"White, Non-Hispanic",74.9,69.1 to 79.9,271.0
Seasonal Influenza,States,Michigan,2016-17,Race/Ethnicity,"White, Non-Hispanic",62.6,58.0 to 67.0,557.0
Seasonal Influenza,States,Missouri,2016-17,Race/Ethnicity,"White, Non-Hispanic",59.8,55.2 to 64.3,594.0
Seasonal Influenza,States,Nebraska,2016-17,Race/Ethnicity,"White, Non-Hispanic",73.8,66.7 to 79.8,180.0
Seasonal Influenza,States,New Hampshire,2016-17,Race/Ethnicity,"White, Non-Hispanic",67.9,61.8 to 73.4,367.0
Seasonal Influenza,States,New Jersey,2016-17,Race/Ethnicity,"White, Non-Hispanic",57.3,51.4 to 62.9,310.0
Seasonal Influenza,States,New Mexico,2016-17,Race/Ethnicity,"White, Non-Hispanic",58.8,52.2 to 65.1,242.0
Seasonal Influenza,States,New York,2016-17,Race/Ethnicity,"White, Non-Hispanic",60.8,56.3 to 65.0,718.0
Seasonal Influenza,States,North Carolina,2016-17,Race/Ethnicity,"White, Non-Hispanic",75.6,68.3 to 81.6,202.0
Seasonal Influenza,States,North Dakota,2016-17,Race/Ethnicity,"White, Non-Hispanic",71.2,62.7 to 78.4,125.0
Seasonal Influenza,States,Oklahoma,2016-17,Race/Ethnicity,"White, Non-Hispanic",51.3,44.7 to 57.8,220.0
Seasonal Influenza,States,Pennsylvania,2016-17,Race/Ethnicity,"White, Non-Hispanic",58.7,53.9 to 63.4,543.0
Seasonal Influenza,States,Rhode Island,2016-17,Race/Ethnicity,"White, Non-Hispanic",77.5,72.9 to 81.5,443.0
Seasonal Influenza,States,South Dakota,2016-17,Race/Ethnicity,"White, Non-Hispanic",82.8,76.5 to 87.7,173.0
Seasonal Influenza,States,Texas,2016-17,Race/Ethnicity,"White, Non-Hispanic",57.0,48.1 to 65.5,186.0
Seasonal Influenza,National,U.S. Median,2016-17,Race/Ethnicity,"White, Non-Hispanic",63.2,,304.0
Seasonal Influenza,States,Utah,2016-17,Race/Ethnicity,"White, Non-Hispanic",63.8,59.5 to 67.9,761.0
Seasonal Influenza,States,Vermont,2016-17,Race/Ethnicity,"White, Non-Hispanic",69.9,65.8 to 73.7,577.0
Seasonal Influenza,States,Virginia,2016-17,Race/Ethnicity,"White, Non-Hispanic",63.4,56.1 to 70.1,371.0
Seasonal Influenza,States,Washington,2016-17,Race/Ethnicity,"White, Non-Hispanic",64.1,58.1 to 69.8,272.0
Seasonal Influenza,States,West Virginia,2016-17,Race/Ethnicity,"White, Non-Hispanic",56.6,51.1 to 61.9,452.0
Seasonal Influenza,States,Wisconsin,2016-17,Race/Ethnicity,"White, Non-Hispanic",68.1,61.8 to 73.8,249.0
Seasonal Influenza,States,Wyoming,2016-17,Race/Ethnicity,"White, Non-Hispanic",55.1,48.9 to 61.2,313.0
Seasonal Influenza,States,Arkansas,2009-10,Age,≥18 Years,46.7,42.6 to 50.8,1055.0
Seasonal Influenza,States,Colorado,2009-10,Age,≥18 Years,52.8,49.0 to 56.6,1317.0
Seasonal Influenza,States,Florida,2009-10,Age,≥18 Years,26.1,22.8 to 29.4,927.0
Seasonal Influenza,States,Georgia,2009-10,Age,≥18 Years,29.9,24.3 to 35.5,614.0
Seasonal Influenza,States,Hawaii,2009-10,Age,≥18 Years,50.3,46.3 to 54.3,974.0
Seasonal Influenza,States,Illinois,2009-10,Age,≥18 Years,47.1,43.9 to 50.3,1071.0
Seasonal Influenza,States,Louisiana,2009-10,Age,≥18 Years,39.6,34.4 to 44.8,540.0
Seasonal Influenza,States,Maine,2009-10,Age,≥18 Years,64.0,60.0 to 68.0,709.0
Seasonal Influenza,States,Maryland,2009-10,Age,≥18 Years,46.1,41.6 to 50.6,1080.0
Seasonal Influenza,States,Massachusetts,2009-10,Age,≥18 Years,67.5,63.5 to 71.5,996.0
Seasonal Influenza,States,Michigan,2009-10,Age,≥18 Years,44.7,41.1 to 48.3,1000.0
Seasonal Influenza,States,Minnesota,2009-10,Age,≥18 Years,67.9,64.6 to 71.2,917.0
Seasonal Influenza,States,Mississippi,2009-10,Age,≥18 Years,37.2,33.2 to 41.2,862.0
Seasonal Influenza,States,Missouri,2009-10,Age,≥18 Years,42.8,39.1 to 46.5,973.0
Seasonal Influenza,States,Nebraska,2009-10,Age,≥18 Years,65.4,62.2 to 68.6,1198.0
Seasonal Influenza,States,New Jersey,2009-10,Age,≥18 Years,36.8,33.6 to 40.0,1053.0
Seasonal Influenza,States,New York,2009-10,Age,≥18 Years,50.5,47.4 to 53.6,1587.0
Seasonal Influenza,States,Ohio,2009-10,Age,≥18 Years,42.7,38.2 to 47.2,829.0
Seasonal Influenza,States,Oklahoma,2009-10,Age,≥18 Years,49.1,44.7 to 53.5,1432.0
Seasonal Influenza,States,Rhode Island,2009-10,Age,≥18 Years,63.7,59.8 to 67.6,821.0
Seasonal Influenza,States,South Carolina,2009-10,Age,≥18 Years,45.3,38.8 to 51.8,676.0
Seasonal Influenza,States,Tennessee,2009-10,Age,≥18 Years,41.2,36.1 to 46.3,650.0
Seasonal Influenza,States,Texas,2009-10,Age,≥18 Years,44.9,40.8 to 49.0,898.0
Seasonal Influenza,National,U.S. Median,2009-10,Age,≥18 Years,47.1,,973.0
Seasonal Influenza,States,Utah,2009-10,Age,≥18 Years,57.8,54.6 to 61.0,1124.0
Seasonal Influenza,States,Vermont,2009-10,Age,≥18 Years,66.3,62.9 to 69.7,742.0
Seasonal Influenza,States,Virginia,2009-10,Age,≥18 Years,51.2,43.9 to 58.5,318.0
Seasonal Influenza,States,Washington,2009-10,Age,≥18 Years,53.3,49.3 to 57.3,1052.0
Seasonal Influenza,States,West Virginia,2009-10,Age,≥18 Years,44.2,40.6 to 47.8,1121.0
Seasonal Influenza,States,Wyoming,2009-10,Age,≥18 Years,55.6,51.0 to 60.2,617.0
Seasonal Influenza,States,Arkansas,2009-10,Age,18-24 Years,41.6,35.4 to 48.1,445.0
Seasonal Influenza,States,Colorado,2009-10,Age,18-24 Years,43.9,36.5 to 51.6,366.0
Seasonal Influenza,States,Florida,2009-10,Age,18-24 Years,18.1,13.1 to 24.4,256.0
Seasonal Influenza,States,Georgia,2009-10,Age,18-24 Years,18.7,11.5 to 29.1,200.0
Seasonal Influenza,States,Hawaii,2009-10,Age,18-24 Years,46.0,38.6 to 53.7,276.0
Seasonal Influenza,States,Illinois,2009-10,Age,18-24 Years,34.8,29.1 to 40.9,289.0
Seasonal Influenza,States,Louisiana,2009-10,Age,18-24 Years,28.1,20.8 to 36.8,192.0
Seasonal Influenza,States,Maine,2009-10,Age,18-24 Years,64.9,57.5 to 71.6,229.0
Seasonal Influenza,States,Maryland,2009-10,Age,18-24 Years,32.8,23.2 to 44.2,150.0
Seasonal Influenza,States,Massachusetts,2009-10,Age,18-24 Years,51.9,42.6 to 61.0,212.0
Seasonal Influenza,States,Michigan,2009-10,Age,18-24 Years,40.5,34.3 to 46.9,341.0
Seasonal Influenza,States,Minnesota,2009-10,Age,18-24 Years,57.8,50.4 to 65.0,237.0
Seasonal Influenza,States,Mississippi,2009-10,Age,18-24 Years,34.0,28.2 to 40.2,375.0
Seasonal Influenza,States,Missouri,2009-10,Age,18-24 Years,31.1,25.6 to 37.3,343.0
Seasonal Influenza,States,Nebraska,2009-10,Age,18-24 Years,55.0,48.6 to 61.3,356.0
Seasonal Influenza,States,New Jersey,2009-10,Age,18-24 Years,25.4,19.3 to 32.6,207.0
Seasonal Influenza,States,New York,2009-10,Age,18-24 Years,48.2,41.3 to 55.2,327.0
Seasonal Influenza,States,Ohio,2009-10,Age,18-24 Years,31.3,24.4 to 39.2,291.0
Seasonal Influenza,States,Oklahoma,2009-10,Age,18-24 Years,46.2,39.1 to 53.4,509.0
Seasonal Influenza,States,Rhode Island,2009-10,Age,18-24 Years,59.4,51.4 to 67.0,203.0
Seasonal Influenza,States,South Carolina,2009-10,Age,18-24 Years,39.4,29.3 to 50.6,227.0
Seasonal Influenza,States,Tennessee,2009-10,Age,18-24 Years,30.0,22.5 to 38.7,222.0
Seasonal Influenza,States,Texas,2009-10,Age,18-24 Years,36.9,30.1 to 44.2,298.0
Seasonal Influenza,National,U.S. Median,2009-10,Age,18-24 Years,41.6,,276.0
Seasonal Influenza,States,Utah,2009-10,Age,18-24 Years,49.7,43.9 to 55.6,342.0
Seasonal Influenza,States,Vermont,2009-10,Age,18-24 Years,63.4,55.8 to 70.4,171.0
Seasonal Influenza,States,Virginia,2009-10,Age,18-24 Years,47.5,33.8 to 61.5,90.0
Seasonal Influenza,States,Washington,2009-10,Age,18-24 Years,49.7,42.4 to 57.0,315.0
Seasonal Influenza,States,West Virginia,2009-10,Age,18-24 Years,35.8,30.5 to 41.3,488.0
Seasonal Influenza,States,Wyoming,2009-10,Age,18-24 Years,52.4,44.2 to 60.6,208.0
Seasonal Influenza,States,Arkansas,2009-10,Age,25-34 Years,49.1,43.3 to 54.9,495.0
Seasonal Influenza,States,Colorado,2009-10,Age,25-34 Years,53.7,48.7 to 58.7,700.0
Seasonal Influenza,States,Florida,2009-10,Age,25-34 Years,30.0,25.5 to 35.0,489.0
Seasonal Influenza,States,Georgia,2009-10,Age,25-34 Years,33.4,26.3 to 41.3,321.0
Seasonal Influenza,States,Hawaii,2009-10,Age,25-34 Years,54.6,49.0 to 60.0,508.0
Seasonal Influenza,States,Illinois,2009-10,Age,25-34 Years,52.7,48.3 to 57.1,570.0
Seasonal Influenza,States,Louisiana,2009-10,Age,25-34 Years,45.2,37.9 to 52.7,259.0
Seasonal Influenza,States,Maine,2009-10,Age,25-34 Years,64.4,58.8 to 69.7,384.0
Seasonal Influenza,States,Maryland,2009-10,Age,25-34 Years,48.8,42.6 to 55.1,386.0
Seasonal Influenza,States,Massachusetts,2009-10,Age,25-34 Years,70.2,65.0 to 75.0,576.0
Seasonal Influenza,States,Michigan,2009-10,Age,25-34 Years,48.4,43.5 to 53.4,496.0
Seasonal Influenza,States,Minnesota,2009-10,Age,25-34 Years,71.3,67.1 to 75.1,555.0
Seasonal Influenza,States,Mississippi,2009-10,Age,25-34 Years,41.2,35.4 to 47.3,378.0
Seasonal Influenza,States,Missouri,2009-10,Age,25-34 Years,49.5,44.2 to 54.8,495.0
Seasonal Influenza,States,Nebraska,2009-10,Age,25-34 Years,71.1,67.0 to 74.8,672.0
Seasonal Influenza,States,New Jersey,2009-10,Age,25-34 Years,37.8,33.7 to 42.0,621.0
Seasonal Influenza,States,New York,2009-10,Age,25-34 Years,50.8,46.6 to 54.9,883.0
Seasonal Influenza,States,Ohio,2009-10,Age,25-34 Years,49.2,43.1 to 55.4,416.0
Seasonal Influenza,States,Oklahoma,2009-10,Age,25-34 Years,52.2,46.2 to 58.2,735.0
Seasonal Influenza,States,Rhode Island,2009-10,Age,25-34 Years,65.6,60.2 to 70.7,436.0
Seasonal Influenza,States,South Carolina,2009-10,Age,25-34 Years,50.0,40.6 to 59.4,327.0
Seasonal Influenza,States,Tennessee,2009-10,Age,25-34 Years,48.0,40.9 to 55.1,331.0
Seasonal Influenza,States,Texas,2009-10,Age,25-34 Years,48.8,43.0 to 54.5,431.0
Seasonal Influenza,National,U.S. Median,2009-10,Age,25-34 Years,50.0,,495.0
Seasonal Influenza,States,Utah,2009-10,Age,25-34 Years,61.5,57.2 to 65.5,645.0
Seasonal Influenza,States,Vermont,2009-10,Age,25-34 Years,66.6,61.8 to 71.0,399.0
Seasonal Influenza,States,Virginia,2009-10,Age,25-34 Years,48.2,38.2 to 58.3,156.0
Seasonal Influenza,States,Washington,2009-10,Age,25-34 Years,55.2,49.7 to 60.6,568.0
Seasonal Influenza,States,West Virginia,2009-10,Age,25-34 Years,49.1,43.8 to 54.5,501.0
Seasonal Influenza,States,Wyoming,2009-10,Age,25-34 Years,55.8,49.7 to 61.8,336.0
Seasonal Influenza,States,Arkansas,2009-10,Age,≥35 Years,64.7,49.2 to 77.6,71.0
Seasonal Influenza,States,Colorado,2009-10,Age,≥35 Years,68.7,59.1 to 76.9,209.0
Seasonal Influenza,States,Florida,2009-10,Age,≥35 Years,29.5,21.7 to 38.8,152.0
Seasonal Influenza,States,Georgia,2009-10,Age,≥35 Years,46.1,29.5 to 63.6,74.0
Seasonal Influenza,States,Hawaii,2009-10,Age,≥35 Years,45.0,35.7 to 54.7,170.0
Seasonal Influenza,States,Illinois,2009-10,Age,≥35 Years,52.1,44.2 to 59.9,180.0
Seasonal Influenza,States,Louisiana,2009-10,Age,≥35 Years,50.5,35.3 to 65.7,68.0
Seasonal Influenza,States,Maine,2009-10,Age,≥35 Years,57.6,45.7 to 68.6,89.0
Seasonal Influenza,States,Maryland,2009-10,Age,≥35 Years,54.7,49.6 to 59.7,524.0
Seasonal Influenza,States,Massachusetts,2009-10,Age,≥35 Years,78.0,68.7 to 85.1,185.0
Seasonal Influenza,States,Michigan,2009-10,Age,≥35 Years,43.2,34.0 to 52.9,126.0
Seasonal Influenza,States,Minnesota,2009-10,Age,≥35 Years,67.2,57.1 to 76.0,99.0
Seasonal Influenza,States,Mississippi,2009-10,Age,≥35 Years,39.3,25.6 to 55.0,63.0
Seasonal Influenza,States,Missouri,2009-10,Age,≥35 Years,53.7,42.3 to 64.7,110.0
Seasonal Influenza,States,Nebraska,2009-10,Age,≥35 Years,60.2,50.1 to 69.6,136.0
Seasonal Influenza,States,New Jersey,2009-10,Age,≥35 Years,43.7,36.8 to 50.9,214.0
Seasonal Influenza,States,New York,2009-10,Age,≥35 Years,50.9,44.2 to 57.5,349.0
Seasonal Influenza,States,Ohio,2009-10,Age,≥35 Years,47.7,35.3 to 60.4,99.0
Seasonal Influenza,States,Oklahoma,2009-10,Age,≥35 Years,48.6,32.3 to 65.2,135.0
Seasonal Influenza,States,Rhode Island,2009-10,Age,≥35 Years,66.7,57.3 to 74.9,158.0
Seasonal Influenza,States,South Carolina,2009-10,Age,≥35 Years,47.6,32.0 to 63.6,93.0
Seasonal Influenza,States,Tennessee,2009-10,Age,≥35 Years,46.9,33.1 to 61.2,72.0
Seasonal Influenza,States,Texas,2009-10,Age,≥35 Years,54.0,42.8 to 64.8,123.0
Seasonal Influenza,National,U.S. Median,2009-10,Age,≥35 Years,53.8,,123.0
Seasonal Influenza,States,Utah,2009-10,Age,≥35 Years,60.5,49.4 to 70.6,101.0
Seasonal Influenza,States,Vermont,2009-10,Age,≥35 Years,72.2,64.7 to 78.7,159.0
Seasonal Influenza,States,Virginia,2009-10,Age,≥35 Years,64.3,48.3 to 77.6,63.0
Seasonal Influenza,States,Washington,2009-10,Age,≥35 Years,53.8,43.3 to 64.0,146.0
Seasonal Influenza,States,West Virginia,2009-10,Age,≥35 Years,63.8,49.6 to 76.0,81.0
Seasonal Influenza,States,Wyoming,2009-10,Age,≥35 Years,69.1,54.0 to 81.1,60.0
Seasonal Influenza,States,Arkansas,2009-10,Race/Ethnicity,"Black, Non-Hispanic",35.1,26.1 to 45.4,179.0
Seasonal Influenza,States,Colorado,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,29.0
Seasonal Influenza,States,Florida,2009-10,Race/Ethnicity,"Black, Non-Hispanic",16.0,10.4 to 23.8,181.0
Seasonal Influenza,States,Georgia,2009-10,Race/Ethnicity,"Black, Non-Hispanic",15.7,9.4 to 25.2,226.0
Seasonal Influenza,States,Hawaii,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,17.0
Seasonal Influenza,States,Illinois,2009-10,Race/Ethnicity,"Black, Non-Hispanic",34.1,26.2 to 43.0,155.0
Seasonal Influenza,States,Louisiana,2009-10,Race/Ethnicity,"Black, Non-Hispanic",28.6,20.5 to 38.5,194.0
Seasonal Influenza,States,Maine,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,7.0
Seasonal Influenza,States,Maryland,2009-10,Race/Ethnicity,"Black, Non-Hispanic",34.3,27.2 to 42.3,374.0
Seasonal Influenza,States,Massachusetts,2009-10,Race/Ethnicity,"Black, Non-Hispanic",53.7,47.5 to 59.8,255.0
Seasonal Influenza,States,Michigan,2009-10,Race/Ethnicity,"Black, Non-Hispanic",34.7,30.1 to 39.6,412.0
Seasonal Influenza,States,Minnesota,2009-10,Race/Ethnicity,"Black, Non-Hispanic",63.4,53.2 to 72.5,136.0
Seasonal Influenza,States,Mississippi,2009-10,Race/Ethnicity,"Black, Non-Hispanic",26.4,21.3 to 32.3,438.0
Seasonal Influenza,States,Missouri,2009-10,Race/Ethnicity,"Black, Non-Hispanic",25.9,17.4 to 36.8,115.0
Seasonal Influenza,States,Nebraska,2009-10,Race/Ethnicity,"Black, Non-Hispanic",57.1,50.8 to 63.1,206.0
Seasonal Influenza,States,New Jersey,2009-10,Race/Ethnicity,"Black, Non-Hispanic",20.8,15.2 to 27.8,201.0
Seasonal Influenza,States,New York,2009-10,Race/Ethnicity,"Black, Non-Hispanic",36.8,29.1 to 45.2,264.0
Seasonal Influenza,States,Ohio,2009-10,Race/Ethnicity,"Black, Non-Hispanic",33.3,27.2 to 40.1,316.0
Seasonal Influenza,States,Oklahoma,2009-10,Race/Ethnicity,"Black, Non-Hispanic",31.5,18.6 to 48.1,128.0
Seasonal Influenza,States,Rhode Island,2009-10,Race/Ethnicity,"Black, Non-Hispanic",46.1,31.1 to 61.9,53.0
Seasonal Influenza,States,South Carolina,2009-10,Race/Ethnicity,"Black, Non-Hispanic",33.0,22.9 to 45.0,276.0
Seasonal Influenza,States,Tennessee,2009-10,Race/Ethnicity,"Black, Non-Hispanic",30.0,19.8 to 42.7,119.0
Seasonal Influenza,States,Texas,2009-10,Race/Ethnicity,"Black, Non-Hispanic",30.1,24.8 to 36.1,253.0
Seasonal Influenza,National,U.S. Median,2009-10,Race/Ethnicity,"Black, Non-Hispanic",34.1,,179.0
Seasonal Influenza,States,Utah,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,4.0
Seasonal Influenza,States,Vermont,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,6.0
Seasonal Influenza,States,Virginia,2009-10,Race/Ethnicity,"Black, Non-Hispanic",36.9,22.1 to 54.6,65.0
Seasonal Influenza,States,Washington,2009-10,Race/Ethnicity,"Black, Non-Hispanic",58.8,51.6 to 65.6,186.0
Seasonal Influenza,States,West Virginia,2009-10,Race/Ethnicity,"Black, Non-Hispanic",43.3,24.7 to 64.0,43.0
Seasonal Influenza,States,Wyoming,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,2.0
Seasonal Influenza,States,Arkansas,2009-10,Race/Ethnicity,Hispanic,40.7,28.0 to 54.8,90.0
Seasonal Influenza,States,Colorado,2009-10,Race/Ethnicity,Hispanic,51.7,44.4 to 58.9,360.0
Seasonal Influenza,States,Florida,2009-10,Race/Ethnicity,Hispanic,21.9,16.5 to 28.4,262.0
Seasonal Influenza,States,Georgia,2009-10,Race/Ethnicity,Hispanic,31.8,20.2 to 46.4,72.0
Seasonal Influenza,States,Hawaii,2009-10,Race/Ethnicity,Hispanic,48.2,38.6 to 57.9,167.0
Seasonal Influenza,States,Illinois,2009-10,Race/Ethnicity,Hispanic,45.8,39.2 to 52.4,239.0
Seasonal Influenza,States,Louisiana,2009-10,Race/Ethnicity,Hispanic,*,*,21.0
Seasonal Influenza,States,Maine,2009-10,Race/Ethnicity,Hispanic,*,*,6.0
Seasonal Influenza,States,Maryland,2009-10,Race/Ethnicity,Hispanic,29.4,18.0 to 44.1,100.0
Seasonal Influenza,States,Massachusetts,2009-10,Race/Ethnicity,Hispanic,65.6,59.4 to 71.3,246.0
Seasonal Influenza,States,Michigan,2009-10,Race/Ethnicity,Hispanic,*,*,5.0
Seasonal Influenza,States,Minnesota,2009-10,Race/Ethnicity,Hispanic,75.5,65.0 to 83.7,90.0
