Disease,MMWR year,MMWR week,Current week,Current week_ flag,Cum 2017,Cum 2017_ flag,5-year weekly average§,5-year weekly average§_ flag,Total cases reported  2016,Total cases reported  2016_ flag,Total cases reported 2015,Total cases reported 2015_ flag,Total cases reported 2014,Total cases reported 2014_ flag,Total cases reported 2013,Total cases reported 2013_ flag,Total cases reported 2012,Total cases reported 2012_ flag,States reporting cases during current week (No.) 
Novel influenza A virus infections§§§,2017.0,38.0,,-,20.0,,1.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
Psittacosis**,2017.0,39.0,,-,4.0,,0.0,,12.0,,4.0,,8.0,,6.0,,2.0,,
Listeriosis,2017.0,39.0,2.0,,497.0,,20.0,,786.0,,768.0,,769.0,,735.0,,727.0,,"NY (1 ), FL (1 )"
"Viral hemorrhagic fever****, Marburg fever",2017.0,39.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,39.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Vancomycin-resistant Staphylococcus aureus**,2017.0,39.0,,-,,-,,-,,-,3.0,,,-,,-,2.0,,
"Viral hemorrhagic fever****, Lassa fever",2017.0,39.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,39.0,,-,18.0,,0.0,,30.0,,29.0,,40.0,,31.0,,30.0,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,39.0,,-,,-,,-,,-,,-,,-,,-,,-,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,39.0,,-,16.0,,1.0,,40.0,,64.0,,59.0,,71.0,,65.0,,
Typhoid fever (caused by Salmonella typhi),2017.0,39.0,2.0,,233.0,,8.0,,376.0,,367.0,,349.0,,338.0,,354.0,,"NYC (1 ), OH (1 )"
"Polio virus Infection, nonparalytic**",2017.0,39.0,,-,,-,,-,,-,,-,,-,,-,,-,
Cyclosporiasis**,2017.0,39.0,,-,1008.0,,4.0,,535.0,,645.0,,388.0,,784.0,,123.0,,
"Botulism, infant",2017.0,39.0,1.0,,82.0,,2.0,,144.0,,138.0,,127.0,,136.0,,123.0,,WA (1 )
Anthrax,2017.0,39.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, other (wound and unspecified)",2017.0,39.0,,-,13.0,,0.0,,26.0,,20.0,,19.0,,12.0,,18.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,39.0,1.0,,175.0,,3.0,,187.0,,167.0,,39.0,,34.0,,37.0,,FL (1 )
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,39.0,3.0,,212.0,,8.0,,307.0,,274.0,,250.0,,329.0,,274.0,,"VA (1 ), OK (2 )"
"Q fever, total**",2017.0,39.0,,-,119.0,,3.0,,164.0,,156.0,,168.0,,170.0,,135.0,,
Diphtheria,2017.0,39.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,39.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,39.0,,-,110.0,,2.0,,159.0,,135.0,,266.0,,233.0,,263.0,,
"Rabies, human",2017.0,39.0,,-,,-,0.0,,,-,2.0,,1.0,,2.0,,1.0,,
"Arboviral diseases¶,** Powassan virus disease",2017.0,39.0,,-,23.0,,0.0,,22.0,,7.0,,8.0,,12.0,,7.0,,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,39.0,,-,29.0,,1.0,,35.0,,55.0,,80.0,,85.0,,78.0,,
"Poliomyelitis, paralytic",2017.0,39.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
"Syphilis, congenital¶¶¶",2017.0,39.0,,-,373.0,,10.0,,631.0,,493.0,,458.0,,348.0,,322.0,,
Streptococcal toxic-shock syndrome**,2017.0,39.0,1.0,,238.0,,3.0,,283.0,,335.0,,259.0,,224.0,,194.0,,OH (1 )
"Q fever, acute**",2017.0,39.0,,-,97.0,,2.0,,132.0,,122.0,,132.0,,137.0,,113.0,,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,39.0,,-,,-,,-,2.0,,3.0,,,NN,,NN,,NN,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,39.0,,-,7.0,,0.0,,14.0,,21.0,,32.0,,21.0,,30.0,,
"Q fever, chronic**",2017.0,39.0,,-,22.0,,0.0,,32.0,,34.0,,36.0,,33.0,,22.0,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,39.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,39.0,,-,13.0,,0.0,,21.0,,21.0,,25.0,,17.0,,20.0,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,39.0,1.0,,141.0,,3.0,,142.0,,120.0,,196.0,,298.0,,260.0,,FL (1 )
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,39.0,,-,1.0,,0.0,,7.0,,6.0,,8.0,,8.0,,15.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,39.0,,-,45.0,,2.0,,126.0,,120.0,,123.0,,142.0,,161.0,,
"Viral hemorrhagic fever****, Lujo virus",2017.0,39.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,39.0,1.0,,55.0,,3.0,,246.0,,896.0,,,NN,,NN,,NN,ME (1 )
Measles***,2017.0,39.0,,-,122.0,,1.0,,85.0,,188.0,,667.0,,187.0,,55.0,,
Trichinellosis**,2017.0,39.0,,-,10.0,,0.0,,26.0,,14.0,,14.0,,22.0,,18.0,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,39.0,,-,2.0,,0.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
"Botulism, total",2017.0,39.0,1.0,,112.0,,2.0,,201.0,,195.0,,161.0,,152.0,,168.0,,
Smallpox,2017.0,39.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, foodborne",2017.0,39.0,,-,17.0,,0.0,,31.0,,37.0,,15.0,,4.0,,27.0,,
Plague,2017.0,39.0,,-,1.0,,0.0,,,-,16.0,,10.0,,4.0,,4.0,,
Leptospirosis**,2017.0,39.0,,-,41.0,,1.0,,78.0,,40.0,,38.0,,,NN,,NN,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,39.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Yellow fever,2017.0,39.0,,-,,-,,-,,-,,-,,-,,-,,-,
Cholera,2017.0,39.0,,-,1.0,,0.0,,2.0,,5.0,,5.0,,14.0,,17.0,,
SARS-CoV,2017.0,39.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,39.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,39.0,,-,40.0,,0.0,,15.0,,11.0,,11.0,,22.0,,2.0,,
Hansen's disease**,2017.0,39.0,,-,46.0,,2.0,,78.0,,89.0,,88.0,,81.0,,82.0,,
"Influenza-associated pediatric mortality**,¶¶",2017.0,39.0,1.0,,111.0,,0.0,,83.0,,130.0,,141.0,,160.0,,52.0,,FL (1 )
"Zika virus disease, non-congenital††††  ",2017.0,39.0,,-,334.0,,29.0,,5115.0,,,NN,,NN,,NN,,NN,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,39.0,,-,46.0,,2.0,,86.0,,111.0,,89.0,,99.0,,110.0,,
Brucellosis,2017.0,39.0,,-,85.0,,2.0,,127.0,,126.0,,92.0,,99.0,,114.0,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,39.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hepatitis B, perinatal virus infection§§",2017.0,39.0,1.0,,19.0,,1.0,,34.0,,37.0,,47.0,,48.0,,40.0,,NY (1 )
Chancroid,2017.0,39.0,,-,7.0,,0.0,,7.0,,11.0,,,-,,-,15.0,,
Novel influenza A virus infections§§§,2017.0,39.0,,-,20.0,,0.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
Tularemia,2017.0,39.0,3.0,,159.0,,5.0,,230.0,,314.0,,180.0,,203.0,,149.0,,"MO (1 ), OK (1 ), WY (1 )"
Vancomycin-intermediate Staphylococcus aureus**,2017.0,39.0,1.0,,61.0,,4.0,,108.0,,183.0,,212.0,,248.0,,134.0,,PA (1 )
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,39.0,1.0,,99.0,,3.0,,196.0,,175.0,,128.0,,141.0,,115.0,,NY (1 )
Tularemia,2017.0,40.0,,-,166.0,,5.0,,230.0,,314.0,,180.0,,203.0,,149.0,,
"Influenza-associated pediatric mortality**,¶¶",2017.0,40.0,,-,111.0,,0.0,,83.0,,130.0,,141.0,,160.0,,52.0,,
Trichinellosis**,2017.0,40.0,,-,10.0,,0.0,,26.0,,14.0,,14.0,,22.0,,18.0,,
"Syphilis, congenital¶¶¶",2017.0,40.0,,-,413.0,,10.0,,631.0,,493.0,,458.0,,348.0,,322.0,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,40.0,,-,2.0,,0.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,40.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,40.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Anthrax,2017.0,40.0,,-,,-,,-,,-,,-,,-,,-,,-,
Measles***,2017.0,40.0,,-,123.0,,1.0,,85.0,,188.0,,667.0,,187.0,,55.0,,
"Zika virus disease, non-congenital††††  ",2017.0,40.0,,-,338.0,,27.0,,5116.0,,,NN,,NN,,NN,,NN,
"Q fever, total**",2017.0,40.0,,-,122.0,,3.0,,164.0,,156.0,,168.0,,170.0,,135.0,,
"Arboviral diseases¶,** Powassan virus disease",2017.0,40.0,,-,24.0,,0.0,,22.0,,7.0,,8.0,,12.0,,7.0,,
"Hepatitis B, perinatal virus infection§§",2017.0,40.0,,-,19.0,,1.0,,34.0,,37.0,,47.0,,48.0,,40.0,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,40.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Listeriosis,2017.0,40.0,6.0,,513.0,,18.0,,786.0,,768.0,,769.0,,735.0,,727.0,,"NY (1 ), PA (1 ), VA (1 ), FL (2 ), AZ (1 )"
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,40.0,,-,41.0,,0.0,,15.0,,11.0,,11.0,,22.0,,2.0,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,40.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
"Viral hemorrhagic fever****, Marburg fever",2017.0,40.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Vancomycin-resistant Staphylococcus aureus**,2017.0,40.0,,-,,-,,-,,-,3.0,,,-,,-,2.0,,
Plague,2017.0,40.0,,-,1.0,,0.0,,,-,16.0,,10.0,,4.0,,4.0,,
Hansen's disease**,2017.0,40.0,,-,47.0,,2.0,,78.0,,89.0,,88.0,,81.0,,82.0,,
Typhoid fever (caused by Salmonella typhi),2017.0,40.0,12.0,,254.0,,6.0,,376.0,,367.0,,349.0,,338.0,,354.0,,"NYC (1 ), PA (1 ), OH (9 ), MD (1 )"
Smallpox,2017.0,40.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, foodborne",2017.0,40.0,,-,17.0,,0.0,,31.0,,37.0,,15.0,,4.0,,27.0,,
"Q fever, chronic**",2017.0,40.0,,-,22.0,,1.0,,32.0,,34.0,,36.0,,33.0,,22.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,40.0,,-,48.0,,2.0,,86.0,,111.0,,89.0,,99.0,,110.0,,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,40.0,,-,16.0,,1.0,,40.0,,64.0,,59.0,,71.0,,65.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,40.0,,-,102.0,,3.0,,196.0,,175.0,,128.0,,141.0,,115.0,,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,40.0,,-,,-,,-,2.0,,3.0,,,NN,,NN,,NN,
"Rabies, human",2017.0,40.0,,-,,-,0.0,,,-,2.0,,1.0,,2.0,,1.0,,
Chancroid,2017.0,40.0,1.0,,8.0,,0.0,,7.0,,11.0,,,-,,-,15.0,,CA (1 )
"Poliomyelitis, paralytic",2017.0,40.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,40.0,2.0,,215.0,,7.0,,307.0,,274.0,,250.0,,329.0,,274.0,,"CT (1 ), MO (1 )"
Streptococcal toxic-shock syndrome**,2017.0,40.0,1.0,,240.0,,3.0,,283.0,,335.0,,259.0,,224.0,,194.0,,ME (1 )
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,40.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Cholera,2017.0,40.0,,-,1.0,,0.0,,2.0,,5.0,,5.0,,14.0,,17.0,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,40.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,40.0,6.0,,149.0,,3.0,,142.0,,120.0,,196.0,,298.0,,260.0,,"PA (1 ), OH (1 ), MO (1 ), MT (1 ), CO (1 ), WA (1 )"
Brucellosis,2017.0,40.0,2.0,,90.0,,2.0,,127.0,,126.0,,92.0,,99.0,,114.0,,"MO (1 ), OK (1 )"
Diphtheria,2017.0,40.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,40.0,,-,46.0,,2.0,,126.0,,120.0,,123.0,,142.0,,161.0,,
"Botulism, total",2017.0,40.0,,-,114.0,,3.0,,201.0,,195.0,,161.0,,152.0,,168.0,,
"Viral hemorrhagic fever****, Lassa fever",2017.0,40.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
"Botulism, other (wound and unspecified)",2017.0,40.0,,-,13.0,,0.0,,26.0,,20.0,,19.0,,12.0,,18.0,,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,40.0,,-,68.0,,4.0,,108.0,,183.0,,212.0,,248.0,,134.0,,
Psittacosis**,2017.0,40.0,,-,4.0,,0.0,,12.0,,4.0,,8.0,,6.0,,2.0,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,40.0,,-,12.0,,0.0,,21.0,,21.0,,25.0,,17.0,,20.0,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,40.0,1.0,,8.0,,0.0,,14.0,,21.0,,32.0,,21.0,,30.0,,NV (1 )
"Q fever, acute**",2017.0,40.0,,-,100.0,,2.0,,132.0,,122.0,,132.0,,137.0,,113.0,,
SARS-CoV,2017.0,40.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, infant",2017.0,40.0,,-,84.0,,2.0,,144.0,,138.0,,127.0,,136.0,,123.0,,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,40.0,,-,59.0,,3.0,,246.0,,896.0,,,NN,,NN,,NN,
Novel influenza A virus infections§§§,2017.0,40.0,,-,20.0,,0.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,40.0,4.0,,178.0,,3.0,,187.0,,167.0,,39.0,,34.0,,37.0,,"OH (2 ), CO (1 ), OR (1 )"
"Polio virus Infection, nonparalytic**",2017.0,40.0,,-,,-,,-,,-,,-,,-,,-,,-,
Cyclosporiasis**,2017.0,40.0,3.0,,1022.0,,4.0,,535.0,,645.0,,388.0,,784.0,,123.0,,"NYC (1 ), CO (1 ), AZ (1 )"
"Arboviral diseases¶,** La Crosse virus disease",2017.0,40.0,1.0,,30.0,,1.0,,35.0,,55.0,,80.0,,85.0,,78.0,,TN (1 )
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,40.0,,-,18.0,,0.0,,30.0,,29.0,,40.0,,31.0,,30.0,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,40.0,,-,1.0,,0.0,,7.0,,6.0,,8.0,,8.0,,15.0,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,40.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Lujo virus",2017.0,40.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Yellow fever,2017.0,40.0,,-,,-,,-,,-,,-,,-,,-,,-,
Leptospirosis**,2017.0,40.0,,-,41.0,,1.0,,78.0,,40.0,,38.0,,,NN,,NN,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,40.0,1.0,,112.0,,2.0,,159.0,,135.0,,266.0,,233.0,,263.0,,WA (1 )
"Viral hemorrhagic fever****, Lujo virus",2017.0,41.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,41.0,,-,12.0,,0.0,,21.0,,21.0,,25.0,,17.0,,20.0,,
"Viral hemorrhagic fever****, Lassa fever",2017.0,41.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,41.0,2.0,,151.0,,3.0,,142.0,,120.0,,196.0,,298.0,,260.0,,"NYC (1 ), PA (1 )"
Typhoid fever (caused by Salmonella typhi),2017.0,41.0,9.0,,268.0,,6.0,,376.0,,367.0,,349.0,,338.0,,354.0,,"NYC (1 ), OH (8 )"
Vancomycin-resistant Staphylococcus aureus**,2017.0,41.0,,-,,-,,-,,-,3.0,,,-,,-,2.0,,
Streptococcal toxic-shock syndrome**,2017.0,41.0,,-,241.0,,3.0,,283.0,,335.0,,259.0,,224.0,,194.0,,
"Viral hemorrhagic fever****, Marburg fever",2017.0,41.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,41.0,,-,3.0,,0.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
"Q fever, acute**",2017.0,41.0,,-,103.0,,2.0,,132.0,,122.0,,132.0,,137.0,,113.0,,
SARS-CoV,2017.0,41.0,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis**,2017.0,41.0,,-,4.0,,0.0,,12.0,,4.0,,8.0,,6.0,,2.0,,
Trichinellosis**,2017.0,41.0,1.0,,11.0,,0.0,,26.0,,14.0,,14.0,,22.0,,18.0,,AK (1 )
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,41.0,,-,8.0,,0.0,,14.0,,21.0,,32.0,,21.0,,30.0,,
Cholera,2017.0,41.0,,-,1.0,,0.0,,2.0,,5.0,,5.0,,14.0,,17.0,,
"Poliomyelitis, paralytic",2017.0,41.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,41.0,,-,31.0,,0.0,,35.0,,55.0,,80.0,,85.0,,78.0,,
"Syphilis, congenital¶¶¶",2017.0,41.0,,-,420.0,,10.0,,633.0,,493.0,,458.0,,348.0,,322.0,,
Leptospirosis**,2017.0,41.0,,-,42.0,,1.0,,78.0,,40.0,,38.0,,,NN,,NN,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,41.0,,-,43.0,,0.0,,15.0,,11.0,,11.0,,22.0,,2.0,,
"Rabies, human",2017.0,41.0,,-,,-,,-,,-,2.0,,1.0,,2.0,,1.0,,
Novel influenza A virus infections§§§,2017.0,41.0,,-,20.0,,0.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
Yellow fever,2017.0,41.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,41.0,,-,18.0,,1.0,,30.0,,29.0,,40.0,,31.0,,30.0,,
"Zika virus disease, non-congenital††††  ",2017.0,41.0,5.0,,358.0,,25.0,,5116.0,,,NN,,NN,,NN,,NN,"NY (2 ), FL (1 ), TX (2 )"
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,41.0,,-,,-,,-,2.0,,3.0,,,NN,,NN,,NN,
Chancroid,2017.0,41.0,,-,8.0,,0.0,,7.0,,11.0,,,-,,-,15.0,,
"Botulism, other (wound and unspecified)",2017.0,41.0,,-,14.0,,0.0,,26.0,,20.0,,19.0,,12.0,,18.0,,
Brucellosis,2017.0,41.0,2.0,,95.0,,2.0,,127.0,,126.0,,92.0,,99.0,,114.0,,"TX (1 ), ID (1 )"
Plague,2017.0,41.0,,-,1.0,,0.0,,,-,16.0,,10.0,,4.0,,4.0,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,41.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hepatitis B, perinatal virus infection§§",2017.0,41.0,,-,19.0,,1.0,,34.0,,37.0,,47.0,,48.0,,40.0,,
Listeriosis,2017.0,41.0,6.0,,530.0,,18.0,,786.0,,768.0,,769.0,,735.0,,727.0,,"NY (1 ), NYC (1 ), VA (1 ), FL (3 )"
Hansen's disease**,2017.0,41.0,,-,47.0,,2.0,,78.0,,89.0,,88.0,,81.0,,82.0,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,41.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,41.0,,-,2.0,,0.0,,7.0,,6.0,,8.0,,8.0,,15.0,,
"Influenza-associated pediatric mortality**,¶¶",2017.0,41.0,1.0,,112.0,,0.0,,83.0,,130.0,,141.0,,160.0,,52.0,,CT (1 )
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,41.0,,-,48.0,,2.0,,86.0,,111.0,,89.0,,99.0,,110.0,,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,41.0,2.0,,70.0,,4.0,,108.0,,183.0,,212.0,,248.0,,134.0,,GA (2 )
"Q fever, total**",2017.0,41.0,,-,126.0,,3.0,,164.0,,156.0,,168.0,,170.0,,135.0,,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,41.0,,-,64.0,,3.0,,246.0,,896.0,,,NN,,NN,,NN,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,41.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Tularemia,2017.0,41.0,2.0,,171.0,,5.0,,230.0,,314.0,,180.0,,203.0,,149.0,,"MT (1 ), AK (1 )"
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,41.0,1.0,,115.0,,2.0,,159.0,,135.0,,266.0,,233.0,,263.0,,AR (1 )
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,41.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,41.0,,-,224.0,,7.0,,307.0,,274.0,,250.0,,329.0,,274.0,,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,41.0,,-,16.0,,1.0,,40.0,,64.0,,59.0,,71.0,,65.0,,
"Botulism, infant",2017.0,41.0,,-,84.0,,3.0,,144.0,,138.0,,127.0,,136.0,,123.0,,
"Botulism, total",2017.0,41.0,,-,115.0,,3.0,,201.0,,195.0,,161.0,,152.0,,168.0,,
"Q fever, chronic**",2017.0,41.0,,-,23.0,,1.0,,32.0,,34.0,,36.0,,33.0,,22.0,,
"Polio virus Infection, nonparalytic**",2017.0,41.0,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2017.0,41.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Powassan virus disease",2017.0,41.0,,-,24.0,,0.0,,22.0,,7.0,,8.0,,12.0,,7.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,41.0,,-,48.0,,2.0,,126.0,,120.0,,123.0,,142.0,,161.0,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,41.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,41.0,2.0,,182.0,,3.0,,187.0,,167.0,,39.0,,34.0,,37.0,,"NC (1 ), OR (1 )"
Diphtheria,2017.0,41.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,41.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Smallpox,2017.0,41.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,41.0,,-,103.0,,3.0,,196.0,,175.0,,128.0,,141.0,,115.0,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,41.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Botulism, foodborne",2017.0,41.0,,-,17.0,,0.0,,31.0,,37.0,,15.0,,4.0,,27.0,,
Measles***,2017.0,41.0,,-,122.0,,1.0,,85.0,,188.0,,667.0,,187.0,,55.0,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,42.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,42.0,,-,19.0,,1.0,,30.0,,29.0,,40.0,,31.0,,30.0,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,42.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,42.0,1.0,,69.0,,3.0,,246.0,,896.0,,,NN,,NN,,NN,TX (1 )
"Arboviral diseases¶,** Powassan virus disease",2017.0,42.0,,-,24.0,,0.0,,22.0,,7.0,,8.0,,12.0,,7.0,,
Yellow fever,2017.0,42.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,42.0,,-,43.0,,0.0,,15.0,,11.0,,11.0,,22.0,,2.0,,
"Rabies, human",2017.0,42.0,,-,,-,0.0,,,-,2.0,,1.0,,2.0,,1.0,,
Leptospirosis**,2017.0,42.0,,-,44.0,,1.0,,78.0,,40.0,,38.0,,,NN,,NN,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,42.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,42.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Cholera,2017.0,42.0,,-,1.0,,0.0,,2.0,,5.0,,5.0,,14.0,,17.0,,
Psittacosis**,2017.0,42.0,,-,4.0,,0.0,,12.0,,4.0,,8.0,,6.0,,2.0,,
Streptococcal toxic-shock syndrome**,2017.0,42.0,,-,247.0,,3.0,,283.0,,335.0,,259.0,,224.0,,194.0,,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,42.0,,-,72.0,,4.0,,108.0,,183.0,,212.0,,248.0,,134.0,,
"Q fever, total**",2017.0,42.0,,-,128.0,,2.0,,164.0,,156.0,,168.0,,170.0,,135.0,,
"Q fever, chronic**",2017.0,42.0,,-,23.0,,1.0,,32.0,,34.0,,36.0,,33.0,,22.0,,
