Property Name,Country,Commodity,Type of Work,Status,Extent of Processing,Best Reserve Available,Reserves Tonnes  (_000) Units,Reserve Grade,Reserve grade Unit,Current Production,Current Production Unit,(Expected) Yearly Production at full capacity ,(Expected) Production at full capacity unit,Life of Mine (years),Project Inception (Year),Project Completion (Year),Company Name,(Expected)  Investment (MM$),Probability to move to investment by 2020 ,Power Sourcing Arrangement or Relationship Between Mine and Grid.,Source of power,Energy Consumption (kwh/t product),Annual Energy Consumption (MWh),Energy needs (MW),Shareholding Code,Mine Location,Location notes,Region,Tariff Public Utility,Cost relativity,Grid Energy Source,Grid Reliability,Source,Notes,Reference,Projects Pre-2000,Projects 2001-2012,Projects 2020
Ngezi,Zimbabwe,PGM,Underground,Producer,smelted,Inferred Resources,1883000.0,0.13,%,11657303.0,grams,270000,ounce,50.0,2001.0,2051.0,Zimplats Holding Ltd (100%),500.0,high,Grid supply,On-Grid,65962380,504900,52.59,Sole Ownership by a private company,"(-18.6666667, 30.35)",,SA,9.8,equal tariff,Mainly Coal Fuelled Generation,50 to 100 days,Infomine,"Calculated LOM. Ngezi mine site is connected to the National Grid by a new 33kV overhead power supply. Platinum miner Zimplats has had to advance a $25million loan facility to Zesa. The power company has used the money to reduce arrears it owes to Mozambique's Hidroeléctrica de Cahora Bassa, enabling the resumption of electricity imports. In return, Zimplats will receive guaranteed power supplies for the next three years.","Infomine, Company Website, http://mg.co.za/article/2012-09-28-zim-power-crisis-sparks-concern",No,Yes,Yes
Bathopele,South Africa,Platinum,Underground,Producer,refined,Proven and Probable Reserves,51100.0,2.87,grams,4404252.0,grams,178000,ounce,17.0,2009.0,2026.0,Anglo American Platinum,,high,Grid supply,On-Grid,69489780,350660,36.53,Sole Ownership by a private company,"(-25.65, 27.3)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"The mining group aims to conclude a 25-year power purchase agreement with the eventual developer, with an option for Anglo American to extend the term. [starting 2015]. It needs to provide technical conditions for power generated in Witbank to be used in Rustenburg. 4E = Pt + Pd+ Rh+ Au. In 2009, the Rustenburg Section was split into the Bathopele, Khomanani, Thembelani, Khuseleka, and Siphumelele mines. Production number based on 2010: 57%
",,No,Yes,Yes
Marenica,Namibia,Uranium,Open-Pit,Feasibility,refined,Indicated Reserves,276100.0,94.0,parts per million,,,5000000,lb,13.0,2014.0,2027.0,Marenica Energy,260.0,high,Grid supply,On-Grid,178000,403698,42.05,Sole Ownership by a private company,"(-21.8833333, 14.9833333)",,SA,8.4,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,"There are good tarred and unsealed roads and an accessible power grid, but the main issue for Namibia is a good supply of fresh water","Infomine, Company Website, http://www.wise-uranium.org/upna.html#MARENICA",No,No,Yes
Samira Hill Mine,Niger,Gold,Open-Pit,Producer,refined,Proven Reserves,7765.0,1.71,grams,1769108.0,grams,62000,ounce,7.0,2004.0,2012.0,"Semafo 40%; Etruscan 40%, Niger 20%",,closed by 2020,Grid supply,On-Grid,25000000,43942,4.58,Sole Ownership by a private company,"(13.4, 1.2166667)",,WA,15.5,equal tariff,Mainly Oil Fuelled Generation,0 to 50 days,IM,"Since March 13, 2007, Samira Hill plant facility has been connected to the Niger national power grid through an electrical sourcing contract; current cost $0.14/kwh.","Infomine, Company Website",No,Yes,No
North Mara,Tanzania,Gold,Open-Pit,Producer,refined,Indicated Reserves,19046.0,1.95,grams,5188544.0,grams,250000,ounce,19.0,2002.0,2021.0,African Barrick Gold (100%),,high,Mines invest in the grid,On-Grid,25000000,177184,18.46,Sole Ownership by a private company,"(-1.75, 34.0)",,EA,5.3,equal tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,"In 2009, a power transmission line was brought to the site by Barrick and Tanzania’s national power company TANESCO. By bringing the power line to the mine area local businesses and people also benefited from access to electricity.","http://www.infomine.com/minesite/minesite.asp?site=northmara,
http://new.uneca.org/Portals/15/CrossArticle/1/Documents/TanzaniaMineral_cluster_study.pdf",No,Yes,Yes
Singida,Tanzania,Gold,Underground,Advanced Exploration,refined,Inferred Resources,4200.0,2.27,grams,,,45200,ounce,10.0,,,Shanta Gold Limited (100%),,high,Grid supply + self-supply backup,"On-Site HFO, On-Grid",45000000,57663,6.01,Sole Ownership by a private company,"(-5.0333333, 34.7833333)",,EA,5.3,above tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine," By 2020 switch to the grid when the 440kv line from Iringa to Shinyanga via Dodoma, Singida and Tabora Regions will come to completion ",http://new.uneca.org/Portals/15/CrossArticle/1/Documents/TanzaniaMineral_cluster_study.pdf,No,No,Yes
Perkoa,Burkina Faso,Zinc,Underground,Producer,intermediate,Indicated Reserves,6290.0,16.3,%,,,90100,tons,9.5,2013.0,2022.0,"Blackthorn Resources Limited (40%), Glencore (50%), Government (10%)",,high,Self-supply,On-Site Diesel,595,53610,5.58,Joint- venture with State Equity,"(12.3666667, -2.5833333)",,WA,26.0,above tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,720k tonnes pa ore; 170k dry metric tonnes pa at 53% contained zinc. Electricity for the project will be sourced from diesel powered generators (market wire),"Infomine, Company Website",No,No,Yes
Elandsfontein Coal Mine,South Africa,Coal,Open-Pit,Producer,crushed,,,,,4096000.0,tons,5000000,tons,25.0,2000.0,2025.0,Wescoal Holdings,,high,Self-supply + sell to the grid,On-site Coal,37,185000,19.27,Sole Ownership by a private company,"(-25.9166667, 29.0833333)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,LOM assumed,Infomine,Yes,Yes,Yes
Lake Sonfon - Golden Prospect,Sierra Leone,Gold,Surface,Exploration,refined,Indicated Reserves,66000.0,2.43,grams,60000.0,ounce,60000,ounce,18.0,,,Golden Prospect 24.5%; Mano River 24.5%; Golden Star Resources 51%,438.0,high,Self-supply,"On-site HFO, On-site Hydro",25000000,42524,4.43,Join-venture with only private interests,"(9.4166667, -11.8333333)",,WA,28.0,below tariff,Mainly Oil Fuelled Generation,0 to 50 days,IM,Assumption on on-site hydro based on baomahun,"Infomine, Company Website",No,No,Yes
Bafokeng Rasimone,South Africa,Gold,Underground,Producer,refined,Indicated Reserves,72400.0,12.13,grams,5741701.0,grams,9311,ounce,65.0,1997.0,2062.0,"Royal Bafokeng Holdings (67%), Anglo American Platinum (33%)",220.0,high,Grid supply --> Mines serve as anchor demand for IPP,"On-Grid, IPP",45000000,11878,1.24,Join-venture with only private interests,"(-25.4, 27.1)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"The mining group aims to conclude a 25-year power purchase agreement with the eventual developer, with an option for Anglo American to extend the term. [starting 2015]. It needs to provide technical conditions for power generated in Witbank to be used in Rustenburg.  Site established at Boschkoppie (1997); off-take agreement was concluded with Rustenburg Refineries for the sale of the BRPM JV concentrate. Proportion based on 2009 production (250,000 oz PGMs)","Infomine, Mining Weekly",Yes,Yes,Yes
Doornkop - Randfontein,South Africa,Gold,Open-Pit/Underground,Producer,refined,Proven and Probable Reserves,3200.0,5.33,grams,1311000.0,grams,100000,ounce,136.0,1889.0,2025.0,Harmony Gold Mining,,high,Grid supply,On-Grid,45000000,72000,7.5,Sole Ownership by a private company,"(-26.1666667, 27.7166667)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Harmony Gold Mining Co.  plans a solar-power plant with partners in the north of South Africa, where a lack of generating capacity has forced companies to cut electricity use","Infomine, Mining Weekly",Yes,Yes,Yes
Kalgold,South Africa,Gold,Open-Pit,Producer,refined,Proven and Probable Reserves,8400.0,1.28,grams,2015000.0,grams,49000,ounce,26.0,1996.0,2022.0,Harmony Gold Mining,,high,Grid supply --> Mines sell collectively to the grid,"On-Grid, On-site Solar",25000000,34728,3.62,Sole Ownership by a private company,"(-26.1666667, 25.25)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Harmony plans solar power plant. Harmony’s Kalgold operation would draw about 8 megawatts from the project,"Infomine, Company Website, http://www.epcengineer.com/projects/details/1906/kalgold, http://www.mbendi.com/facility/f0lz.htm",Yes,Yes,Yes
Kopanang (Vaal Reefs No.9 Shaft),South Africa,Gold,Underground,Producer,refined,Proven Reserves,3400.0,6.94,grams,4230072.0,grams,312000,ounce,61.0,1984.0,2045.0,Anglo Gold Ashanti,,high,Grid supply,On-Grid,45000000,398027,41.46,Sole Ownership by a private company,"(-26.9833333, 26.7333333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,IM: 10.27MN oz of mineral reserves (end of 2011) and LOM until 2045. Calculated Production at Full Capacity,"Infomine, Company Website",Yes,Yes,Yes
Target (Quality Op),South Africa,Gold,Open-Pit/Underground,Producer,refined,Indicated Reserves,70600.0,8.16,grams,2713000.0,grams,350000,ounce,15.0,2001.0,2016.0,Harmony Gold Mining Co. Ltd. (100%),,closed by 2020,Grid supply,On-Grid,45000000,446505,46.51,Sole Ownership by a private company,"(-27.9333333, 26.6833333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,"Infomine, Company Website, publications, http://www.mining-technology.com/",No,Yes,No
Nimini / Komahun,Sierra Leone,Gold,Surface,Advanced Exploration,refined,Indicated Reserves,3528.0,4.59,grams,50000.0,ounce,50000,ounce,,2015.0,,Nimini 90%; Plinian Guernsey 10%,,high,Self-supply,On-site HFO,25000000,35437,3.69,Join-venture with only private interests,"(8.5833333, -11.15)",,WA,28.0,below tariff,Mainly Oil Fuelled Generation,0 to 50 days,,,Company Website,No,No,Yes
Liganga,Tanzania,Iron Ore,Open-Pit,Exploration,smelted,None,,,,,,1000000,tons,,2015.0,,"National Development Corporation (20%), Sichuan Hongda (80%)",1500.0,low,Self-supply,On-site Coal,590,590000,61.46,Joint- venture with State Equity,,Ludewa District,EA,5.3,above tariff,Mainly Hydro Powered Generation,50 to 100 days,WB,Used the coal power plant of Mchuchma. All the iron ore to be extracted will be locally processed. Part of it will be used in the country and some will be exported,"WB, http://www.thecitizen.co.tz/component/content/article/37-tanzania-top-news-story/14992-tanzania-china-in-3bn-mining-deal.html",No,No,Yes
Drenthe-Overysel/Boikgantsho,South Africa,Platinum,Underground,Advanced Exploration,smelted,Indicated Reserves,176661.0,0.56,grams,,,365625,ounce,24.0,2014.0,2038.0,"Anglo American (49%), Atlatsa Resources (51%)",153.0,high,Grid supply,On-Grid,65962380,683719,71.22,Join-venture with only private interests,"(-23.9, 28.8666667)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Electrical power is available from the main ESKOM grid. The project development includes the installation of a substation and transformers for electrical transmission to the mine site. Preliminary Assessment in 2006 (cites 32 year LOM).
3PGE (Pt, Pd, Au): Meausred & Indicated Resources: 7.6M oz
Inferred Resources: 4.1M oz [USED TO FIND FULL PRODUCTION]","Infomine, Company Website",No,No,Yes
Grande Cote (Gczp),Senegal,Zirconium,Surface,Development,intermediate,Inferred Resources,310000.0,2.0,%,80000.0,tons,80000,tons,25.0,2013.0,2038.0,Mineral Deposits Ltd. (100%),467.0,high,Grid supply,On-Grid,800,64000,6.67,Sole Ownership by a private company,"(13.1833333, -12.1)",,WA,23.0,equal tariff,Mainly Oil Fuelled Generation,0 to 50 days,IM,,"Mining Weekly, http://womp-int.com/",No,No,Yes
Beatrix,South Africa,Gold,Underground,Producer,refined,Proven Reserves,23440.0,4.59,grams,9853556.0,grams,357000,ounce,32.0,1993.0,2025.0,Sibanye Gold Limited,,high,Self-supply,Co-generation,45000000,450000,46.88,Sole Ownership by a private company,"(-28.1833333, 26.7166667)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Project to flare and generate electricity from a planned extraction flow rate of 400 l/s of methane gas captured at the mine’s South Section. Expected that the design extraction flow rate of 400 l/s should be reached by mid 2012. Phase 2 of the project is to generate 4 MW of electricity once stable methane gas flows have been established,"Infomine, Company Website",Yes,Yes,Yes
Central Rand Project,South Africa,Gold,Underground,Producer,refined,Indicated Reserves,58933.0,7.54,grams,1025916.0,grams,39682,ounce,13.0,2009.0,2022.0,Central Rand Gold,,high,Grid supply,On-Grid,45000000,50623,5.27,Sole Ownership by a private company,"(-26.2, 27.9333333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,476190 oz over 12 years used to calculate production at full capacity,"Infomine, http://www.mining-journal.com/finance/crg-trial-complete",No,Yes,Yes
Sheba's Ridge,South Africa,Gold,Open-Pit,Feasibility,refined,Indicated Reserves,366720.0,0.95,grams,20000.0,ounce,20000,ounce,20.0,,,Ridge 100%,972.0,high,Grid supply + self-supply backup,"On-Grid, On-Site HFO",25000000,14175,1.48,Sole Ownership by a private company,"(-25.4333333, 29.55)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Ridge continues to consult with Pace Global Energy Services to examine alternatives to reduce reliance on grid supply from Eskom due to the current and projected power supply constraints. Further studies and discussions with Eskom are necessary in order for the Company to be in a position to make a development decision.,http://www.investorvillage.com/smbd.asp?mb=4586&mn=6248&pt=msg&mid=5016241,No,No,Yes
Bulyanhulu,Tanzania,Gold,Underground,Producer,refined,Indicated Reserves,6076.0,12.32,grams,8016340.0,grams,262000,ounce,25.0,2009.0,2034.0,African Barrick Gold (100%),280.0,high,Mines invest in the grid --> Self-supply,"On-Grid, On-site HFO",45000000,334241,34.82,Sole Ownership by a private company,"(-3.7666667, 32.2)",,EA,5.3,above tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,"Power is supplied through a 220-kilovolt overhead line connecting the property to the Shinyanga Station and is purchased pursuant to a contract with the Tanzanian Electric Supply Company, Ltd. Water is supplied through a 48-kilometer pipeline from Lake Victoria to the property. Barrick has invested more than $100 million to extend the national electricity grid to its four mine sites and the communities that surround them. Nonetheless, as a result, the company commissioned back up power for the operations at the mine site. The mine has around 85% back-up coverage which will move to 100% by the end of Q2 2012. Its plans involve backup thermal generation plants. (Barrick website)",Infomine,No,Yes,Yes
Magambazi,Tanzania,Gold,Surface,Prefeasibility,refined,Indicated Reserves,15186.0,1.48,grams,,,80000,ounce,10.0,2016.0,2026.0,Canaco Resources,,low,Self-supply,On-Site HFO,25000000,56699,5.91,Sole Ownership by a private company,"(-5.7438889, 37.97)",,EA,5.3,above tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,,Infomine,No,No,Yes
Belinga,Gabon,Iron Ore,Open-Pit,Raw Prospect,crushed,Measured Resource,1000000.0,0.0,,,,20000000,tons,25.0,2018.0,2043.0,Not Awarded Yet,3000.0,low,Grid supply,On-Grid,20,400000,41.67,Not awarded yet,"(1.1333333, 13.1166667)",,CA,16.2,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,WB,"Huge deposits, known from 18995. Consession aquired by Chinese CMEC in 2007 but lost in 2012 , BHP might be the next taker but not clear",http://www.reuters.com/article/2012/08/30/gabon-belinga-deal-idAFL4E8JU4GN20120830,No,No,Yes
Ga-Phasha,South Africa,Platinum,Surface,Prefeasibility,refined,Inferred Resources,63000.0,5.44,grams,,,350000,ounce,,,2061.0,"Anglo Platinum (49%), Atlatsa (51%)",300.0,high,Mines invest in the grid,On-Grid,50089080,497000,51.77,Join-venture with only private interests,"(-24.3333333, 30.0)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Within the immediate Ga-Phasha Project area the infrastructure remains basic with only gravel roads, limited power and shared community water supply and telecommunication resources. It is anticipated that the existing infrastructure will be extended and improved, as and when required. LOM from 2011 calculated based on Mineral Resources: 225Mt","Infomine, Company Website, Technical Report 2007",No,No,Yes
Pilanesberg/Frischgewaagd,South Africa,Platinum,Open-Pit/Underground,Producer,refined,Indicated Reserves,67178.0,2.19,grams,2794080.0,grams,240000,ounce,16.0,2009.0,2025.0,Nkwe Platinum Ltd (100%),200.0,high,Grid supply + self-supply backup,"On-Grid, On-Site HFO",69489780,472800,49.25,Sole Ownership by a private company,"(-25.15, 27.2333333)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"A monthly processing capacity of 417,000 tonnes and a monthly milling capacity of 285,000 tonnes. PPM is connected to the national electricity grid with 37MVA secured power provided by Eskom and has its own 10MVA power plant","Infomine, Mining Weekly, Company Website",No,Yes,Yes
Zandkopsdrift,South Africa,Rare Earth,Open-Pit,Prefeasibility,separation,Indicated Reserves,22900.0,2.31,%,,,20000,tons,20.0,2015.0,2035.0,Frontier RE (100%),910.0,high,Grid supply,"Co-generation, On-Grid",7200,144000,15.0,Sole Ownership by a private company,"(30.8333333, 17.9666667)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,IM,The total 10.0MW (million watts) (12.5MVA) bulk power requirement of the Zandkopsdrift Mine will be supplied by co-generation from the steam produced in the exothermic Sulphuric Acid Production Plant. The power supply to the Saldanha Separation Plant will be sourced from the South African National power authority Eskom. The Desalination Plant will be supplied by diesel generated power and the booster pumps at Kotzesrus will be diesel driven. ,"Infomine, proactiveinvestors.com/genera/files/sponsor_files/itr_on_zandkopsdrift_pea_13_march_2012.pdf",No,No,Yes
Rossing Uranium Mine,Namibia,Uranium,Open-Pit,Producer,refined,Inferred Resources,561000.0,0.03,%,1867700.0,kilograms,8800000,lb,53.0,1977.0,2030.0,Rio Tinto 68.6%; Iran 15%; South Af 10%; Namibia 3%; Others),112.0,high,Grid supply,On-Grid,178000,712000,74.17,Joint- venture with State Equity,"(-22.5166667, 14.8666667)",,SA,8.4,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,IM,,Wise-uranium,Yes,Yes,Yes
Driefontein Mine,South Africa,Gold,Open-Pit/Underground,Producer,refined,Proven Reserves,14243.0,7.4,grams,23132000.0,grams,1000000,ounce,57.0,1960.0,2017.0,Gold Fields Ltd,,closed by 2020,Grid supply,On-Grid,45000000,1296000,135.0,Sole Ownership by a private company,"(-26.3833333, 27.4833333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Production at full capacity based on average production over the five years between 2006 and 2010,"Infomine, Company Website",Yes,Yes,No
Masimong,South Africa,Gold,Open-Pit/Underground,Producer,refined,Proven and Probable Reserves,18800.0,4.91,grams,4791000.0,grams,168000,ounce,58.0,,,Harmony Gold Mining (100%),,high,Grid supply,On-Grid,45000000,215595,22.46,Sole Ownership by a private company,"(-27.9666667, 26.8833333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Calculated LOM,"Infomine, Company Website",No,No,Yes
Mponeng (Western Deep No. 1 Shaft),South Africa,Gold,Underground,Producer,refined,Proven Reserves,2800.0,8.74,grams,13607772.0,grams,400000,ounce,49.0,1986.0,2035.0,Anglo Ashanti Limited,,high,Grid supply,On-Grid,45000000,612350,63.79,Sole Ownership by a private company,"(-26.4166667, 28.4)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,"Infomine, http://www.mining-technology.com/projects/mponeng/",Yes,Yes,Yes
Tshepong/Phakisa/Joel+B253,South Africa,Gold,Open-Pit/Underground,Producer,refined,Proven and Probable Reserves,23551.0,5.47,grams,9912000.0,grams,220000,ounce,24.0,2005.0,2029.0,Harmony Gold Mining Company,350.0,high,Grid supply,On-Grid,45000000,280660,29.24,Sole Ownership by a private company,"(-26.9833333, 26.7333333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,2009 is date of the mine project combination of Tshepong and Phakisa. Projects that LOM at least 20 years for combined Tshepong and Phakisa,"Infomine, Mining Weekly",No,Yes,Yes
Euronimba,Guinea,Iron Ore,Surface,Prefeasibility,crushed,Measured Resource,600000.0,68.0,%,,,30000000,tons,20.0,2018.0,2038.0,"Newmont (43.5%),   B&A Mineracao (43.5%)  - Sold To BHP , Areva (13%)",,high,Self-supply,"On-site Diesel, On-site coal",20,600000,62.5,Join-venture with only private interests,"(7.6666667, -8.4)",,WA,12.6,above tariff,Mainly Hydro Powered Generation,100 to 150 days,Infomine,,"Infomine, WB",No,No,Yes
Mano River- Western Cluster,Liberia,Iron Ore,Surface,Advanced Exploration,crushed,Unclassified,80000.0,51.4,%,,,30000000,tons,25.0,2014.0,2039.0,"Elnilto Minerals And Mining (49%), Sesa Goa (51%)",,low,Self-supply,On-site Diesel,20,600000,62.5,Join-venture with only private interests,"(7.3166667, -11.1166667)",,WA,53.0,below tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,"In the 1st phase, by 2013-4, the Western Cluster mines should yield a total annual production of 10 Mtpa and in the 2nd phase, which is expected to begin by 2016-7 will be ramped up to 30 Mtpa.","Infomine, WB, Company Website",No,No,Yes
Yekepa,Liberia,Iron Ore,Open-Pit,Producer,crushed,None,,,,,,15000000,tons,25.0,2011.0,2036.0,Arcelormittal (100%),800.0,high,Self-supply,"On-site Diesel, On-site coal",20,300000,31.25,Sole Ownership by a private company,"(7.5833333, -8.5333333)",,WA,53.0,below tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,"Electricity is provided by generators running on diesel. When the operation ramps up, possibility to switch to coal fired plant (Liberia report, World Bank)","Infomine, Company Website",No,Yes,Yes
Kolomela,South Africa,Iron Ore,Open-Pit,Producer,crushed,Indicated Reserves,16100.0,65.09,%,6800000.0,tons,9000000,tons,28.0,2011.0,2039.0,"Kumba Iron Ore (Owns 73.9% Of Sishan Ire Ore Company Which Owns The Mine), Anglo American (Holds 65.2% Of Kumba Iron Ore)",1052.0,high,Mines invest in the grid,On-Grid,20,180000,18.75,Join-venture with only private interests,"(-28.35, 23.0833333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Full production 2013. December 30, 2011 ZAR/USD Exchange Rate: 8.0751 (FRB); R8.5BN  capital investment= 1,052,618,543USD. Power is available via Postmasburg or the Beeshoek Mine and the Sishen South Project plans to utilise power from Postmasburg, which will be sourced via a new Eskom Holdings Limited line to be constructed between Postmasburg and the Sishen South Project. A new sub-station will be installed at site and the existing sub-station at Postmasburg upgraded","Infomine, Company Website",No,Yes,Yes
Grande Cote (Gczp),Senegal,Rutile,Surface,Development,refined,Inferred Resources,310000.0,2.0,%,6000.0,tons,6000,tons,25.0,2013.0,2038.0,Mineral Deposits Ltd. (100%),467.0,high,Grid supply,On-Grid,9300,55800,5.81,Sole Ownership by a private company,"(13.1833333, -12.1)",,WA,23.0,equal tariff,Mainly Oil Fuelled Generation,0 to 50 days,IM,,http://womp-int.com/,No,No,Yes
Sierra Rutile,Sierra Leone,Rutile,Open-Pit,Producer,intermediate,Proven Reserves,278244.0,1.43,%,68198.0,tons,200000,tons,70.0,1979.0,2049.0,Sierra Rutile Limited 100%,284.0,high,Self-supply,On-site HFO,2000,400000,41.67,Sole Ownership by a private company,"(7.7666667, -12.3)",,WA,28.0,below tariff,Mainly Oil Fuelled Generation,0 to 50 days,USGS,A 23MW power plant (marine fuel oil),"USGS, Infomine, Annual report",Yes,Yes,Yes
Rossing South/Husab/Uis,Namibia,Uranium,Open-Pit,Feasibility,refined,Proven Reserves,62700.0,569.0,parts per million,,,15500000,lb,20.0,2015.0,2035.0,North River Resources Plc (50%); Taurus Minerals Ltd. (50%),1665.0,high,Grid supply,On-Grid,178000,1251463,130.36,Join-venture with only private interests,"(-22.5666667, 15.05)",,SA,8.4,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,"Power is expected to be sourced from Nampower with an expected demand of about 35 MW. Nampower is currently completing an Environmental and Socio Economic Impact Assessment to construct a new coal fired power station in the Walvis Bayarea with three capacity scenarios being considered to provide 200, 400 or 800 MW of electricity. Namibia's power utility Nampower said it plans to invest $2.33 billion in power generation and expanding electricity transmission over the next five years to attract mining investment. The utility says power demand grows by 3-5 percent each year and is set to triple by 2030, largely due to Namibia's uranium mines, while the transmission network is also in need of expansion. (Business Report June 21, 2010) ","Infomine, Publications",No,No,Yes
Imouraren Project,Niger,Uranium,Open-Pit,Development,refined,Proven Reserves,38728.0,1.1,%,5000.0,tons,11000000,lb,35.0,2014.0,2049.0,"Areva 56.65%, Sopamin 33.35% And Kepco 10%",1700.0,high,Grid supply,On-Grid,178000,890000,92.71,Join-venture with only private interests,"(18.1333333, 7.35)",,WA,15.5,equal tariff,Mainly Oil Fuelled Generation,0 to 50 days,IM,,"Infomine, http://world-nuclear.org/",No,No,Yes
Golden Ridge Project,Tanzania,Gold,Open-Pit,Advanced Exploration,refined,Indicated Reserves,5580.0,2.94,grams,,,100000,ounce,6.0,2014.0,,African Barrick Gold (100%),,high,Grid supply + self-supply backup,"On-Site HFO, On-Grid",25000000,70874,7.38,Sole Ownership by a private company,"(-3.4, 32.95)",,EA,5.3,above tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine," By 2020 switch to the grid when the 440kv line from Iringa to Shinyanga via Dodoma, Singida and Tabora Regions will come to completion ",Infomine,No,No,Yes
Luiri Hill Project,Zambia,Gold,Open-Pit/Underground,Feasibility,refined,Indicated Reserves,3370.0,2.5,grams,,,85000,ounce,9.0,,,Luiri Gold Ltd,,high,Grid supply,On-Grid,45000000,108437,11.3,Sole Ownership by a private company,"(-15.05, 27.2333333)",,SA,3.9,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,,Infomine,No,No,Yes
Athens,Zimbabwe,Gold,Underground,Producer,refined,Inferred Resources,1014.0,7.6,grams,,,350000,ounce,10.0,2006.0,2016.0,Duration Gold (100%),,closed by 2020,Grid supply,On-Grid,45000000,446505,46.51,Sole Ownership by a private company,"(-19.2833333, 30.5333333)",,SA,9.8,equal tariff,Mainly Coal Fuelled Generation,50 to 100 days,Infomine,,"Infomine, Company Website, http://www.claritycapital.com/companies/minerals/duration-gold.html; LOM assumed",No,Yes,No
Cassinga,Angola,Iron Ore,Open-Pit/Underground,Feasibility,crushed,None,1034200.0,30.46,%,5200000.0,tons,15000000,tons,,2015.0,,Ferrangol,3000.0,high,Grid supply + self-supply backup,"On-Site HFO, On-Grid",30,450000,46.88,Sole ownership by the State-Owned Company,,Huila Province,SA,4.9,above tariff,Mainly Hydro Powered Generation,50 to 100 days,USGS,"The project, undergoing a feasibility study, aimed at initial production of iron ore concentrate but included plans for smelters. Huge hydroelectric projects
are being planned. Around 18,000 MW of potential electricity is waiting to be tapped in Angola’s rivers, especially the Kwanza Queve
Cunene and Catumbela. Cassinga is next to Cuenene river (matala dam to be rehabilitated) - will switch to hydro when potential is tapped.","Mining Weekly, http://www.oecd.org/countries/angola/41922195.pdf",No,No,Yes
Simandou (Vale) - Block 1 And 2,Guinea,Iron Ore,Surface,Advanced Exploration,crushed,None,20000000.0,60.0,%,,,50000000,tons,30.0,2019.0,2040.0,"Vale 100%, With Benny Steinmetz Group (BSG) As Minority Shareholder. Guinea Govt Could Take Up To 35% Stake In The Mining Project., Option For Guinea 35%",5000.0,low,Self-supply,On-site Diesel,20,1000000,104.17,Joint- venture with State Equity,"(7.3333333, -8.95)",,WA,12.6,above tariff,Mainly Hydro Powered Generation,100 to 150 days,,,WB,No,No,Yes
Asmara Project/Debarwa,Eritrea,Zinc,Underground,Feasibility,intermediate,Indicated Reserves,43013.0,2.0,%,,,61800,tons,16.0,2013.0,2029.0,Sunridge Gold Corp,489.0,high,Self-supply --> Self-supply + CSR,On-Site Diesel,595,36771,3.83,Sole Ownership by a private company,"(15.0666667, 38.8166667)",,EA,6.3,above tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,2013: feasibility study finished,"Infomine, Mining Weekly, Company Website",No,No,Yes
